routeid,variable,long,lat,month
1,long1,75.3489565280086,49.4288058505162,JUN
2,long1,22.7954888665981,59.5549572360734,JUN
3,long1,94.767165044935,61.973780263312,JUN
4,long1,13.5388217043332,40.4262178734689,JUN
5,long1,-43.3533314978545,40.920850518423,JUN
6,long1,-48.5578732792506,56.003172032804,JUN
7,long1,52.4063835871385,57.9278991290704,JUN
8,long1,51.8934147647669,62.2591720775279,JUN
9,long1,130.225774414436,45.5354733476604,JUN
10,long1,-88.9677616604535,47.2656761807701,JUN
11,long1,37.2732328325935,39.8541521133811,JUN
12,long1,-7.5776719930559,40.5406617170414,JUN
13,long1,49.1237064461952,45.7366701927296,JUN
1,long2,76.4131159066324,49.1124610061474,JUN
2,long2,24.6350510581928,59.8944601943076,JUN
3,long2,96.5976061432946,61.9360252095007,JUN
4,long2,16.0369668871558,40.2988381815975,JUN
5,long2,-39.6327744822646,41.3224562723589,JUN
6,long2,-43.6463847961689,57.4682256282886,JUN
7,long2,54.4423870321596,58.3991130901843,JUN
8,long2,51.3696273009466,63.3164146003321,JUN
9,long2,131.725973583757,45.4682636227235,JUN
10,long2,-86.2299787928355,47.4157269396824,JUN
11,long2,38.4678795979361,39.7538848051282,JUN
12,long2,-5.00408227476057,40.5517652365861,JUN
13,long2,50.7800413438931,45.8163750288338,JUN
1,long3,77.343839174066,48.7025302967961,JUN
2,long3,26.2850884567878,60.1320525651736,JUN
3,long3,98.2126641465502,61.8590711426484,JUN
4,long3,18.7240250771469,40.1376291909046,JUN
5,long3,-35.7295109687152,41.741708938838,JUN
6,long3,-38.0400542107691,59.1963649364533,JUN
7,long3,56.3384356246074,58.8833540040434,JUN
8,long3,50.978351108857,64.2743596813944,JUN
9,long3,132.799824726486,45.6307946136159,JUN
10,long3,-82.6776678513649,47.5499785033786,JUN
11,long3,39.5989554206465,39.6286840859975,JUN
12,long3,-2.47366817515117,40.5456282064274,JUN
13,long3,52.4537544041854,45.8601428466057,JUN
1,long4,78.112380173438,48.2377681493314,JUN
2,long4,27.7959936907133,60.2335921523155,JUN
3,long4,99.705600689201,61.7490338233015,JUN
4,long4,21.5052972398708,39.9432823477923,JUN
5,long4,-31.682003859376,42.0910121370913,JUN
6,long4,-31.3930575532553,60.9245803046396,JUN
7,long4,58.2757032703893,59.3256167588021,JUN
8,long4,50.6140560532488,64.8613671387802,JUN
9,long4,133.665425400282,45.9846431862431,JUN
10,long4,-78.7110026720205,47.6015473133661,JUN
11,long4,40.6073895184792,39.4487110913721,JUN
12,long4,0.0453301539829422,40.4870000546085,JUN
13,long4,54.1322168446918,45.8242442712036,JUN
1,long5,78.7855951904019,47.8021371742351,JUN
2,long5,29.3690109048903,60.2322112039502,JUN
3,long5,100.97131739658,61.6383113021394,JUN
4,long5,24.32599271278,39.8092899068421,JUN
5,long5,-27.6015296278583,42.3287684907903,JUN
6,long5,-23.6029715953233,62.4388371103508,JUN
7,long5,60.4084325376404,59.7651267481532,JUN
8,long5,49.1777243695356,65.0727811237812,JUN
9,long5,134.30266032115,46.4238995946604,JUN
10,long5,-74.5322541982783,47.5331166794894,JUN
11,long5,41.4428819489434,39.2882599549651,JUN
12,long5,2.55070922200204,40.3795595859609,JUN
13,long5,55.8289863477757,45.7464564437025,JUN
1,long6,79.3937423413151,47.3737370008567,JUN
2,long6,31.3506025214814,60.1708227861108,JUN
3,long6,101.802466507367,61.5220584207055,JUN
4,long6,27.213713549022,39.8483190183401,JUN
5,long6,-23.6737860057262,42.4761566812734,JUN
6,long6,-14.7500447728579,63.6219786508159,JUN
7,long6,62.8872274842288,60.2209230307543,JUN
8,long6,46.4779898928621,65.0746726794488,JUN
9,long6,134.67387725658,46.9273670063999,JUN
10,long6,-69.9969196073457,47.4414158407858,JUN
11,long6,42.164052935895,39.2100241885534,JUN
12,long6,5.00344194329933,40.2925198461363,JUN
13,long6,57.5615905469722,45.6322415237795,JUN
1,long7,79.876737818282,46.8976803307217,JUN
2,long7,33.9497293500444,59.9918523177728,JUN
3,long7,102.083801578873,61.3667950796869,JUN
4,long7,30.1652523544569,40.0811632668615,JUN
5,long7,-19.9416758392718,42.5322731071784,JUN
6,long7,-5.19314140176854,64.3664929525395,JUN
7,long7,65.848773019355,60.6042212005718,JUN
8,long7,43.0494913084482,65.0466104248554,JUN
9,long7,134.619783521821,47.5516359405491,JUN
10,long7,-65.0688690044501,47.4396816907469,JUN
11,long7,42.8482280082988,39.1493035758114,JUN
12,long7,7.43219893015881,40.2402811117441,JUN
13,long7,59.2487045084484,45.4219562808494,JUN
1,long8,80.2229018704454,46.4060127028198,JUN
2,long8,36.9101869764575,59.6068520695774,JUN
3,long8,101.948274242102,61.1668961234913,JUN
4,long8,33.1095960149134,40.4868217941186,JUN
5,long8,-16.477599496646,42.5034237550233,JUN
6,long8,4.40868331952572,64.559090395393,JUN
7,long8,69.4127324613895,60.8040840820014,JUN
8,long8,39.4971285828655,65.1133698438997,JUN
9,long8,134.457227071745,48.3455556805211,JUN
10,long8,-59.6364136992301,47.4876590413335,JUN
11,long8,43.4898652314423,39.0599796482518,JUN
12,long8,9.90073609976706,40.1751014485524,JUN
13,long8,60.8113396684713,45.1290014461589,JUN
1,long9,80.5349334108947,45.9437149373591,JUN
2,long9,39.9313192722469,59.0451865612986,JUN
3,long9,101.76551396627,60.9564044402909,JUN
4,long9,35.9903887529724,41.0781740146569,JUN
