"","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt"
"23",-0.136344778151985,-0.0378991430071459,-0.00544075460124059,0.244774906422417,0.0191666997293861,-0.234476250431371,0.30863302890025,0.232463839517546,0.311091999836586,0.508159133057729,0.425451920598059,0.39457434476211,0.280325950716878,0.461416168969524,0.0392128184197864,-0.202925691852243,0.311853194786245,-0.23481509982232,0.419054757908331
"24",-0.183871424557203,-0.0822061970334516,0.00794418448825571,0.239781121552131,0.00256979417519355,-0.197808308174377,0.301830453401732,0.263061615321176,0.330352135734462,0.514190435318551,0.447203377782248,0.411110788841489,0.349221124646854,0.481504727890012,0.0489156068504436,-0.146937775557194,0.313749305998407,-0.246056315294222,0.428200377638756
"25",-0.223801289353756,-0.121182419002005,0.0231841877067051,0.238621646209408,-0.0241318960928272,-0.181677685075409,0.299304561980328,0.289302599529465,0.333631185955836,0.520935485463828,0.463477938130699,0.418748090133172,0.423028314205965,0.504312248936986,0.0698489735986119,-0.113396017534936,0.308392897487659,-0.261610589687201,0.429581897716893
"26",-0.259892743516481,-0.164544270665768,0.00363526592727808,0.222283061062919,-0.0410141106786413,-0.150917241064716,0.285529298310624,0.314817874224004,0.322993031330942,0.527281434304014,0.473177729047695,0.417828301740578,0.476090386398605,0.504807999994072,0.085772725959087,-0.0707240140921537,0.311494360841327,-0.269997684091133,0.41334468258566
"27",-0.29033960007279,-0.211513767642587,-0.0281030292722751,0.217647177387282,-0.0292675116671843,-0.101253234137481,0.276410635712075,0.336552041974346,0.308740134158437,0.536803073200463,0.48291553522232,0.412492012460808,0.514359959208404,0.504614232110451,0.0968858122093843,-0.0157888095526411,0.324596990979406,-0.267022326701398,0.38965354553457
"28",-0.307319584278818,-0.246945346844465,-0.0187561099767285,0.224342803383457,-0.0097643337742233,-0.101780216967884,0.276095133574651,0.363756554894617,0.286084603729661,0.546491012552727,0.492782340157795,0.395163903251523,0.545802923690608,0.511193998185865,0.100094859322999,0.02130241655804,0.324245393800105,-0.271826859370545,0.371872332051038
"29",-0.322201075522436,-0.278222579575019,-0.00476439204711894,0.220763405532378,-0.018524993630415,-0.108570340992182,0.275198354876462,0.38814556029091,0.250873949170723,0.553378953493015,0.506197712593274,0.36171866175706,0.570687272842177,0.507355177837032,0.0876978281405811,0.0521647264264105,0.319202505232107,-0.272098380530949,0.353589142246057
"30",-0.33231781339539,-0.295023186885529,-0.00331775415933122,0.210165671221369,-0.0369228729307084,-0.120267371215971,0.274467439410285,0.408294085105055,0.215755475330538,0.548977554652177,0.509359007924481,0.310537579242342,0.588986581340179,0.494275371415457,0.0679534122782087,0.0823890998478881,0.315956415229536,-0.269311331459344,0.329536608161396
"31",-0.330793656700012,-0.298325705622375,0.00131979884028857,0.212391397995371,-0.0308930255985277,-0.174386252895636,0.273333476660164,0.438330170977975,0.178593128949797,0.540908993666501,0.50571495646838,0.25559942033092,0.593772906363594,0.472101239490771,0.0417629338763457,0.107420347961277,0.311454827411179,-0.276647976590403,0.310720363884395
"32",-0.312538050877791,-0.291545037909866,0.0168731532862452,0.22695349491634,-0.0214592914829148,-0.227613384077643,0.269775557206343,0.457225385211645,0.126646856697316,0.542032796304487,0.509349347348032,0.206233360040252,0.589808351744532,0.464890465249833,0.0222808954375723,0.130924668951725,0.309114054986825,-0.284119846704991,0.292523457041448
"33",-0.278170191193865,-0.273249858827774,0.0192316359207858,0.269529063565373,0.0100719089465011,-0.260238368878253,0.285271036304653,0.470578900257496,0.0795344697229405,0.543261430742945,0.516939003566799,0.156831639263285,0.576296574774021,0.473733210766506,0.00684342980571765,0.151025398035883,0.313856279620419,-0.281265349362086,0.275663820352232
"34",-0.238532556380557,-0.254329240161669,-0.0159557260249951,0.316549766967014,0.0740594347133961,-0.257553842825623,0.316239973210838,0.506552348378744,0.0524972203465296,0.541231339901357,0.522978928131098,0.113956888082579,0.54978732343451,0.465265968595971,-0.019504945536997,0.178597777362108,0.328249634961919,-0.271186770110491,0.26610505788052
"35",-0.207260255204191,-0.245228605005248,-0.0414710436482472,0.338823293099906,0.110950184253884,-0.237979995994733,0.332768742228268,0.545978877569671,0.0332600469595289,0.539425969376771,0.520896790156911,0.080834686848903,0.509886623808238,0.445087736270058,-0.0418877105491098,0.187902213516391,0.339783125927343,-0.261275418449261,0.260935358293018
"36",-0.200000776811285,-0.256618810253727,-0.069270132313676,0.350884777468582,0.133432923129807,-0.252605822680034,0.325780143023016,0.582834760741252,0.0153256211684951,0.531238137372292,0.507118278867397,0.0530823503773869,0.450808323955927,0.417286519235812,-0.0580133373595331,0.178313534027777,0.340270365650875,-0.254436672227088,0.253753466651846
"37",-0.194102610454019,-0.264199775968575,-0.0891512667201887,0.363705214941796,0.152870096647185,-0.273435232752364,0.311645333991615,0.605860923784156,-0.0134045379336195,0.519874032683312,0.492021685986666,0.02482234858829,0.390977864320554,0.394460834728472,-0.0706409491732724,0.178806155801493,0.35235781262398,-0.234696777546931,0.244797267870461
"38",-0.184195419800081,-0.261289269560376,-0.101785162190973,0.385242598757942,0.152570085871741,-0.333456955400551,0.306682034422295,0.606587755321644,-0.0420096929690984,0.505435674631482,0.475827004207567,0.00251932064049821,0.353074883494101,0.379686676444916,-0.0733587852084262,0.140757585834649,0.354025369828809,-0.209882992592752,0.235478489565536
"39",-0.165995755059698,-0.250046307748605,-0.113897897673607,0.407391415305651,0.152504168828678,-0.386422410456287,0.302850735186528,0.60525623708728,-0.0296926035702357,0.48873297068704,0.457819597024865,-0.00577021827001157,0.331316171272215,0.353932023334355,-0.0794631281550971,0.0900552548530794,0.34181446727096,-0.192412029531722,0.227831146108266
"40",-0.152546299263913,-0.228567264226316,-0.126477773162406,0.420569850912932,0.154535118154138,-0.379991683807944,0.296488452443737,0.59644974525454,0.0112068105638761,0.473271044665176,0.438678541565043,-0.00234439072127936,0.304982703884331,0.324828858369088,-0.0857304841425684,0.0591491933379262,0.340690114827453,-0.17781899752083,0.221004727910997
"41",-0.151560232217174,-0.210516746565582,-0.116328722375679,0.424449106044621,0.147323489384386,-0.352246925341968,0.300789910002521,0.589152269306432,0.066387418892075,0.462368177376682,0.419160768318547,0.0199762698648134,0.275863912916739,0.311127136746361,-0.0746347338797523,0.0201615596697061,0.339881614648095,-0.164860304073063,0.209927235498519
"42",-0.148688804388291,-0.195686262594239,-0.0765414957494902,0.421239350764959,0.124399813045939,-0.313320545185942,0.298886561589335,0.575692202035776,0.106941487198674,0.459435275952146,0.402745067335173,0.0553789229649826,0.264823642165579,0.302110048277389,-0.0574529157261803,-0.00542946171545899,0.333253253151333,-0.148874669835073,0.201591830347809
"43",-0.149218059134017,-0.191564949436164,-0.0723354146561755,0.417843930032532,0.0928669083499473,-0.2385144201189,0.28617637667506,0.534822521651839,0.142455866606375,0.455713404195445,0.390119463207086,0.0985300969335837,0.26390018018265,0.294134480786859,-0.0291239153705547,-0.0165555501362703,0.322233536234901,-0.11929621829136,0.195994533358087
"44",-0.171066416487724,-0.21039636540479,-0.112711245755485,0.406627637295873,0.0633364085524033,-0.154620297636506,0.267386142630183,0.495823960211291,0.195081085992688,0.441085112295309,0.378035426159085,0.157886690761571,0.248703548492317,0.273476401250572,0.00802253379983799,-0.0388291425743671,0.301813685347228,-0.0789359091168997,0.180108742867133
"45",-0.20640234005865,-0.228404116758351,-0.120388276381367,0.353504654359564,0.0106235623502914,-0.0830174021064859,0.228579573740956,0.457458070989193,0.245625964778735,0.42029516137945,0.357812605128263,0.217506730111805,0.233505298880553,0.238750630402516,0.0445288513176376,-0.0514521450955804,0.281128624898011,-0.0369368751537522,0.167913602439169
"46",-0.233857732264623,-0.233483197230508,-0.100193173641903,0.300187176514791,-0.0732508105032641,-0.0509107072254363,0.180990439993517,0.396336075768269,0.271748922296137,0.406934609848414,0.338824893796404,0.256781218132689,0.22790980947648,0.21069272884415,0.0764894967309879,-0.0674507660160351,0.263448340874128,0.00354140001691636,0.166153906663254
"47",-0.245879273626202,-0.224296941031119,-0.104997470166,0.292804550326817,-0.148707817367518,-0.062545062136048,0.142156150864696,0.31750631435019,0.276289272360288,0.399308127417498,0.326856595976045,0.284953153024258,0.224527155192213,0.194746721448967,0.113281741178727,-0.103644804069459,0.239531827795314,0.0313055097600282,0.153860412180341
"48",-0.239826024799477,-0.173585459554749,-0.0992665012321677,0.294747263730783,-0.194034488953388,-0.0777087761319536,0.112592833507464,0.230014249373057,0.263808469121046,0.392946850355315,0.3159173825989,0.302476595048605,0.227044253098181,0.187549212286285,0.16337236253535,-0.136516699660789,0.22036012460599,0.0596033228774978,0.136595978408741
"49",-0.233356690049403,-0.107161546084141,-0.0823669540393055,0.283193821050063,-0.201360664362517,-0.0588354455650428,0.0778165926797029,0.147139643758275,0.258570104977841,0.389609333854861,0.308181009517287,0.321803679101656,0.231970759703652,0.174487229552142,0.209630260991769,-0.164249071043546,0.201417912013193,0.0843642433714047,0.125528273443198
"50",-0.239675317471538,-0.0632466129735192,-0.0538300904625135,0.250220546313502,-0.20506069311521,0.00391746235494261,0.0419638100453404,0.0751448629750479,0.269818242010004,0.388624223861238,0.304485575549947,0.343770346185269,0.229282821018014,0.159522779750225,0.23843315080021,-0.182582312462043,0.18462981093605,0.0880866919138813,0.11964892077524
"51",-0.256706303564697,-0.0435091606974674,-0.0259496925344413,0.202662855585032,-0.230141048779866,0.0583904633677091,0.00957206533437535,0.0127355250420561,0.255768596276491,0.384205449010086,0.298178744871483,0.35488369059871,0.21454005163729,0.143875759617489,0.257581242596957,-0.190124301939378,0.172133241637234,0.0863693769314944,0.111949354399882
"52",-0.276662546369704,-0.0545147681561927,-0.00373651043852094,0.165024427395044,-0.261148990047818,0.109252437617663,-0.031518114918336,-0.0370486273744217,0.22332510275892,0.377659753179225,0.288491519393497,0.356512559090335,0.20124660540038,0.124858052361178,0.271666473488548,-0.19367681958653,0.148345762552963,0.0784436276662815,0.108714468373013
"53",-0.291598389868363,-0.0814062379044774,-0.00558874060728589,0.152424361107183,-0.269962061546797,0.143744491778561,-0.0826010694071378,-0.0748886417590834,0.184190032106439,0.366938449193932,0.276118004585023,0.345576605153162,0.183311917760701,0.0902042419590173,0.268790760763208,-0.196522884469102,0.11899251550485,0.0653303938688052,0.110248963382157
"54",-0.310096085179739,-0.109621399608615,-0.0263935010121463,0.14987541093996,-0.250848567744119,0.14932476994094,-0.113769968648865,-0.0861189835755636,0.151139619960735,0.35191842851538,0.264990144875618,0.328888080686589,0.150313662013911,0.05281315050258,0.256384746463714,-0.218816067443198,0.0891049905431045,0.0457629059625462,0.110718810691926
"55",-0.327365973258293,-0.125869863810515,-0.0191004247910231,0.136645833441596,-0.232061454132966,0.104961771317675,-0.122325671843413,-0.074523093216731,0.114147234768295,0.337063873214971,0.252339850733759,0.299140923182719,0.120551754413544,0.0291385851997307,0.234856893663682,-0.243922751960616,0.0680897103797178,0.0139323286769513,0.113643159476
"56",-0.341180945238918,-0.139194931344347,0.0286659613999544,0.109295853794208,-0.226089839536962,0.0784238355722216,-0.138181575642389,-0.07303994296368,0.0699950847128511,0.31860224016536,0.23091691911451,0.251797678213667,0.107716000830106,0.00917505410464657,0.201974800128209,-0.237801893824766,0.0590226834614886,-0.0238606427948949,0.12078921585177
"57",-0.364254323233332,-0.167342601928425,0.0664414277579186,0.0877740731378893,-0.225265044058031,0.109250940709217,-0.1618731395847,-0.09226463042005,0.0401846920784373,0.296543333877943,0.208944046575899,0.218076944575744,0.0854499509812599,-0.0103305534163286,0.176408197364344,-0.229524665639029,0.0463068401343678,-0.058091990150382,0.124433300946466
"58",-0.393549976603181,-0.191642168473197,0.0849802993359841,0.080722586317032,-0.205668861444286,0.14124534423948,-0.177399924710935,-0.113215483843789,0.030448300030318,0.265120802583701,0.185591548283425,0.201218373577043,0.0438737105592491,-0.0437239210614953,0.16107562247097,-0.219992762999246,0.0245475310215884,-0.0883078332908145,0.123029277421889
"59",-0.421895570000655,-0.203510544462507,0.116550720243039,0.0596555865070709,-0.166161560698031,0.169750938499948,-0.195183199361266,-0.115212506104138,0.0309739434398835,0.224349841887863,0.159442363351593,0.175894140437931,0.00366937764473419,-0.0900042299181033,0.136263199946171,-0.204046790507326,0.00116431903605907,-0.116325996341333,0.123679200662095
"60",-0.440752072695492,-0.199083849186181,0.136222214239918,0.0209801075628319,-0.129076750987337,0.175343710294544,-0.223508495115958,-0.109778070202703,0.0377027254735109,0.184111037010167,0.138647048128909,0.15952345908451,-0.0357398855308065,-0.145871604594822,0.0979171918304397,-0.188153001921224,-0.026862622942928,-0.147928716175573,0.126456170598046
"61",-0.454041239431348,-0.192384834329004,0.144577360564847,-0.0137358924279942,-0.114167876558637,0.158151838002832,-0.244001479467376,-0.0997331343393192,0.0519567166237805,0.146928325702246,0.121427089700272,0.153045405677955,-0.0739867128535201,-0.201346647443459,0.0581290341654108,-0.163492392362331,-0.0591752914590011,-0.178872136633284,0.129468750372608
"62",-0.468811392686772,-0.198497656933972,0.156097614531987,-0.0258521568870158,-0.108111692366161,0.13799583596995,-0.263307558419578,-0.0836457186193051,0.0628727874744563,0.115204982383888,0.105593901308903,0.147186706569126,-0.103218273936316,-0.247164065334773,0.0259191927662978,-0.126005002077511,-0.0978869544126725,-0.196050386968812,0.129725154412854
"63",-0.483694820494841,-0.201426213137814,0.164150509994016,-0.0239108457549381,-0.103829499605672,0.104199325378646,-0.289103905639822,-0.08594184303715,0.0661830935037411,0.0881980069527458,0.0914361613484308,0.149724032012365,-0.123935963782174,-0.286339070098276,0.0086667123703317,-0.0901511234629053,-0.137082025457686,-0.200505072694545,0.130424839062367
"64",-0.494358169214341,-0.199450911437849,0.15976729722913,-0.0316813284099185,-0.114278545629451,0.0666113047636154,-0.313650434429675,-0.0931099086874413,0.0710698527472261,0.0625119429279548,0.080859790033776,0.160112731374536,-0.141003927242794,-0.316508159160968,0.00047411977873849,-0.0660364414371784,-0.161973603956,-0.192461081077033,0.125555315455688
"65",-0.482893628376737,-0.185381965952508,0.151886776418954,-0.0354555170109529,-0.116185806356065,0.0401182092579384,-0.340723230508614,-0.106255098454785,0.0769821563015443,0.0403187958016623,0.0705264772477568,0.172552637477838,-0.147319018263679,-0.328811041450372,-0.00250180189756947,-0.0396585106927751,-0.183010071148388,-0.179809128311755,0.114678065908895
"66",-0.457623999031362,-0.172778523396861,0.109477897519292,-0.0155728637808776,-0.0931529204998764,0.0104351598349472,-0.369132006841521,-0.140965574626092,0.0844156142224081,0.0179197046906001,0.0503435572058129,0.176171759490772,-0.149797803262019,-0.347309332679252,-0.00387344290054926,-0.0112990681937701,-0.210403367342662,-0.16078313809066,0.101972385236811
"67",-0.433016276364348,-0.16979522775811,0.0586142097077541,0.0109088417585714,-0.066312400035324,-0.00842190986710931,-0.402669503808512,-0.178140632636921,0.0976313883152189,-0.00783002004600334,0.0295311406758914,0.180691158881453,-0.159989919359477,-0.387182178402729,-0.0053654701090817,0.016444211780073,-0.243210967386599,-0.133010954556543,0.0871427613208172
"68",-0.380101032302773,-0.133023014289343,0.0129425104520168,0.0555845118796129,-0.033248388814463,-0.0596628384073131,-0.41273928433614,-0.198725518521577,0.106601672892611,-0.0332384606747717,0.0170518149703746,0.184652804061289,-0.171012066620308,-0.430754567582914,-0.00429047517832084,0.032346161279972,-0.273091587045943,-0.0987075970176461,0.0744686205455261
"69",-0.308976358311983,-0.087318142433144,-0.0403950025226735,0.102903997488735,0.0135672712304359,-0.139346957090975,-0.404144456962458,-0.190295485442515,0.10479664696651,-0.055014646607824,0.00857151307367606,0.164658090088604,-0.174777540690247,-0.471013036298972,-0.015523782546286,0.0402696235567572,-0.29516528565251,-0.0682806304367521,0.0642078868833689
"70",-0.253644771392143,-0.079400466260113,-0.0998193144604024,0.129754727478759,0.044288459715747,-0.198700079162872,-0.403591471740464,-0.176731257302559,0.0957990712185867,-0.0708175617707127,-0.000134314308408003,0.133963958926549,-0.159754388638849,-0.488806001814135,-0.0328605827808155,0.048552022179331,-0.309907062710263,-0.0475959158584443,0.0509333862882266
"71",-0.214941064489685,-0.091040893788832,-0.144779639898811,0.157536967846976,0.0467769794136639,-0.252477007492539,-0.387035841837962,-0.178172587090822,0.0833449093026951,-0.0803895757921794,-0.0106962649957221,0.111782619650519,-0.126062315399247,-0.487380512167179,-0.0450548443816488,0.0645222623623547,-0.318646078166615,-0.0292834402419471,0.0409241818049702
"72",-0.185140825443668,-0.125043724299801,-0.143671607988551,0.183383745031999,0.0167435784048277,-0.274118405822047,-0.354597821937983,-0.185069958347492,0.0832357913095584,-0.0872350603107942,-0.022650627187651,0.0883086581611259,-0.0883508205214311,-0.478024139420385,-0.0598461438813084,0.0725459307015311,-0.323705020099708,-0.00267927928987008,0.0343993833266493
"73",-0.155031728807708,-0.170189924512565,-0.127258598611213,0.216275702884445,-0.00558281033783618,-0.265079234573964,-0.317658243142282,-0.189434551770818,0.0938750333919665,-0.0929515090962397,-0.0379150550463595,0.0565009727498198,-0.0569579789305997,-0.46597742148538,-0.0655846260682681,0.0730731629124452,-0.330358510070943,0.0333265763162897,0.0228428088220551
"74",-0.125841525719744,-0.195902149548303,-0.109259798867594,0.238859920436356,-0.0226429327425098,-0.267114614149894,-0.290595974613397,-0.199337086269768,0.0892799897738419,-0.0997902015098256,-0.0495668594789333,0.0217112419506728,-0.0404944500152241,-0.457810250276132,-0.0569452455298091,0.081540581744986,-0.325569787768192,0.0762973631392533,0.0100559680612826
"75",-0.102890179843485,-0.222254873354982,-0.105248994950174,0.252368284448055,-0.0644203927539409,-0.279477045739709,-0.266789091940381,-0.209557201323416,0.0760228419695679,-0.105078301835623,-0.0500354013603989,-0.0143445703698077,-0.0314233451867929,-0.440255039979068,-0.0510412844108448,0.073776443526215,-0.317035802604303,0.112011623439142,0.000326963670682384
"76",-0.0835491500646378,-0.249970873547389,-0.121213881853096,0.275261872978475,-0.105794403212572,-0.300726396164686,-0.233308641686447,-0.218692528265418,0.076028737391079,-0.108174689449601,-0.0461915189378831,-0.0521616807817919,-0.0232072740969372,-0.413552022532339,-0.0514807437031962,0.0516234281028796,-0.320531149106161,0.133935941626093,-0.00993099315657052
"77",-0.0919276024712923,-0.27681958880981,-0.146676171909331,0.283727851539602,-0.139704908354332,-0.333294279989405,-0.189402736997224,-0.221039272752087,0.0920605723574757,-0.108925688618039,-0.0422698034318769,-0.0899413343672955,-0.0222527105040085,-0.4027845349577,-0.0576673798211181,0.0440913896214974,-0.313574907719777,0.162813183871567,-0.0186852661215142
"78",-0.118655005966183,-0.299271336883042,-0.155440272664656,0.284282496852637,-0.170940804659979,-0.349512836436487,-0.135556982776579,-0.215836054672597,0.107203135404531,-0.104790201304125,-0.0390035496617727,-0.130815600155851,-0.0157965395362522,-0.392457365564913,-0.0616522242552222,0.0503976664982755,-0.292966467943615,0.197033162980061,-0.0153060071097494
"79",-0.109483350593754,-0.286619999594317,-0.157646804001534,0.294789438547455,-0.175613682917552,-0.344262785045854,-0.0657004335779396,-0.19076433401592,0.121888566121678,-0.0967011766457566,-0.0340338719222034,-0.163640356934535,-0.00705786992881304,-0.355218973602466,-0.0541578691879657,0.0484864304689714,-0.265223589595463,0.225089271905108,-0.00921850070430128
"80",-0.0656699424464346,-0.254158355143798,-0.185842966993148,0.29607241042068,-0.159002321349622,-0.348055164688783,0.00506963163554839,-0.14303837948535,0.141937718764024,-0.0838595085613819,-0.0219901015253449,-0.187007608354065,-0.00397767071131655,-0.298677913099558,-0.04804338446152,0.0331343334134596,-0.232693256826424,0.239699299803063,-0.0121104748561719
"81",-0.0027249859641275,-0.216676892157418,-0.192633765122972,0.294001413130071,-0.160141692938369,-0.350977666592439,0.0558754888935636,-0.104356853469423,0.161235323436113,-0.070490200677479,-0.00835845731959498,-0.203458822208794,-0.00106455947212319,-0.242113288575196,-0.0476109489413773,0.0046417391283058,-0.201805996679439,0.247572505951241,-0.0231365189450961
"82",0.0743045394496034,-0.169795007946273,-0.160460002787052,0.276742118528399,-0.172878410803976,-0.328406482723531,0.0836158285997974,-0.0725282766059744,0.175756565886986,-0.0601390158365847,0.00842012007529582,-0.211130767705602,-0.0161695407898137,-0.190009153103083,-0.0482077414077181,-0.0279308157397719,-0.161452302711863,0.266427528724129,-0.0317449869563314
"83",0.146051708135487,-0.120507951462699,-0.144560015129818,0.248330033622678,-0.158621958580162,-0.274055520304749,0.0969316893758125,-0.0375389296607893,0.194545569400362,-0.0502309222020083,0.0277515037274303,-0.222503455798168,-0.0446573520871598,-0.14358493233755,-0.0528046688910305,-0.0523604761714695,-0.108221369054587,0.30139677611278,-0.0333064662371439
"84",0.211839540712037,-0.0611033402457989,-0.164156062989643,0.231767544753621,-0.103338366341425,-0.20104930291246,0.101935814834077,0.000971941901497685,0.204505754996466,-0.0410108809191157,0.0431874984829648,-0.244423172808027,-0.0578342595206082,-0.0991237914496476,-0.0563588971922921,-0.0558327109484479,-0.059114093077474,0.328387555606989,-0.0339157400813834
