routeid,region,size,variable,long,lat
1,NA,0.275115624721756,long1,-102.860921597659,43.0027623207431
2,EU,10.9803510329698,long1,-5.69777056965838,55.4523010786167
3,EU,10.9803510329698,long1,125.808924214373,64.397884246883
4,AS,30.1355157240119,long1,131.829903379152,45.5473235007899
5,ATO,2.78845211338908,long1,20.5615684647064,60.1873055954037
6,ATO,2.78845211338908,long1,-119.151613795432,70.7455709469353
7,ATO,2.78845211338908,long1,-52.2424403590063,53.7063191233669
8,EU,10.9803510329698,long1,81.5381353246387,58.0813180073888
9,CS,1.07643236311117,long1,49.8617772878291,42.4012534706396
10,ATO,2.78845211338908,long1,-55.9686974770535,45.9544550653565
11,ATO,2.78845211338908,long1,-0.967955619391553,55.1524543705733
12,NA,0.275115624721756,long1,-113.175325617663,59.0689186364298
13,EU,10.9803510329698,long1,104.415296642609,73.0962689151879
14,AS,30.1355157240119,long1,73.7093362238003,44.6957181522362
15,ATO,2.78845211338908,long1,-62.9366802934719,39.4214333820999
16,MS,0.963089001128358,long1,-2.78624138961874,36.4463266497666
17,AS,30.1355157240119,long1,36.9352456138098,27.7182794299644
18,EU,10.9803510329698,long1,27.0757045189567,46.750746165361
19,ATO,2.78845211338908,long1,-20.8434023892914,34.7834357950538
20,EU,10.9803510329698,long1,67.6281382438682,65.626396076455
1,NA,0.275115624721756,long2,-107.027222667264,43.1920550817454
2,EU,10.9803510329698,long2,-2.2482735577387,56.2624398551099
3,EU,10.9803510329698,long2,131.272282154907,64.6816517957127
4,AS,30.1355157240119,long2,124.550284445638,46.4066051264185
5,ATO,2.78845211338908,long2,25.947743856582,60.8788725670719
6,ATO,2.78845211338908,long2,-128.10111549981,71.9623898920941
7,ATO,2.78845211338908,long2,-48.4941717227143,54.6407363495462
8,EU,10.9803510329698,long2,83.7403217952775,58.0023782376223
9,CS,1.07643236311117,long2,51.5901188648796,42.2206795522655
10,ATO,2.78845211338908,long2,-52.4474761995171,46.3187105282127
11,ATO,2.78845211338908,long2,1.21561451589433,55.5988613109241
12,NA,0.275115624721756,long2,-115.934083333296,59.8856553334836
13,EU,10.9803510329698,long2,116.313293785173,73.7756986491124
14,AS,30.1355157240119,long2,74.9498587324616,44.5319828578305
15,ATO,2.78845211338908,long2,-60.4950232979829,39.6064342894636
16,MS,0.963089001128358,long2,-0.0496688872373923,36.3963901535976
