date,variable,SSP245
2029-11-01,SW1,-0.0731165630694379
2029-12-01,SW1,-0.0884746888186154
2030-01-01,SW1,-0.0884746888186154
2030-02-01,SW1,-0.107764470511995
2030-03-01,SW1,-0.111472071077431
2030-04-01,SW1,-0.0484643722170782
2030-05-01,SW1,-0.0597093324397878
2030-06-01,SW1,0.241778221507758
2030-07-01,SW1,0.194728799586697
2030-08-01,SW1,0.1273818220792
2030-09-01,SW1,0.177456012701422
2030-10-01,SW1,0.0786614314939178
2030-11-01,SW1,0.15789875506659
2030-12-01,SW1,0.202421286094944
2031-01-01,SW1,0.227442597821466
2031-02-01,SW1,0.145792675075298
2031-03-01,SW1,-0.155107837203049
2031-04-01,SW1,0.0769777796574096
2031-05-01,SW1,0.0172723274285862
2031-06-01,SW1,0.00451574236935904
2031-07-01,SW1,-0.0371843865312557
2031-08-01,SW1,-0.0659136398643274
2031-09-01,SW1,-0.0982210030479565
2031-10-01,SW1,-0.0967267946130875
2031-11-01,SW1,-0.125643117014946
2031-12-01,SW1,-0.0843420153970126
2032-01-01,SW1,-0.0435774264218633
2032-02-01,SW1,0.0619473591367452
2032-03-01,SW1,0.206851049714215
2032-04-01,SW1,0.0765639063183919
2032-05-01,SW1,0.0759810388514452
2032-06-01,SW1,0.0812491428870568
2032-07-01,SW1,0.0979146147994589
2032-08-01,SW1,0.142928122396334
2032-09-01,SW1,0.145719362375612
2032-10-01,SW1,0.132145950107514
2032-11-01,SW1,0.174766977495053
2032-12-01,SW1,0.184662246070396
2033-01-01,SW1,0.168096069011449
2033-02-01,SW1,0.161486364711968
2033-03-01,SW1,0.161736330109128
2033-04-01,SW1,0.163427662363137
2033-05-01,SW1,0.130071355942429
2033-06-01,SW1,0.135656122370696
2033-07-01,SW1,0.105595799510639
2033-08-01,SW1,0.0941065036220662
2033-09-01,SW1,0.122316495079728
2033-10-01,SW1,0.134045290506697
2033-11-01,SW1,0.130366087200156
2033-12-01,SW1,0.132975585579169
2034-01-01,SW1,0.100295227562222
2034-02-01,SW1,0.0635588289926474
2034-03-01,SW1,0.0478010780662953
2034-04-01,SW1,0.0831085974909144
2034-05-01,SW1,0.0917291786197991
2034-06-01,SW1,0.0858252600893242
2034-07-01,SW1,0.192986691045089
2034-08-01,SW1,0.0878852475405506
2034-09-01,SW1,0.111621736479354
2034-10-01,SW1,0.000283679392833394
2034-11-01,SW1,-0.0882190750799603
2034-12-01,SW1,-0.127921925816429
2035-01-01,SW1,-0.124612430087292
2035-02-01,SW1,-0.13460486258525
2035-03-01,SW1,-0.15285038603638
2035-04-01,SW1,-0.139767616095433
2035-05-01,SW1,-0.0924065098905595
2035-06-01,SW1,-0.116449881493944
2035-07-01,SW1,-0.0936409984966184
2035-08-01,SW1,0.0195748058513775
2035-09-01,SW1,0.128496745482395
2035-10-01,SW1,0.101564081145722
2035-11-01,SW1,0.0854960473314895
2035-12-01,SW1,-0.145157015030982
2036-01-01,SW1,-0.257749409392912
2036-02-01,SW1,-0.281524596447324
2036-03-01,SW1,-0.253278742707087
2036-04-01,SW1,-0.271815000207946
2036-05-01,SW1,-0.265256032390407
2036-06-01,SW1,-0.269897435907021
2036-07-01,SW1,-0.288020948909564
2036-08-01,SW1,-0.25451025050295
2036-09-01,SW1,-0.123899932667147
2036-10-01,SW1,-0.264957493852025
2036-11-01,SW1,0.252867229376193
2036-12-01,SW1,0.227475260805482
2037-01-01,SW1,0.190103039430795
