date,variable,max,min
2018-01-01,SW1,0.280005912996456,-0.0156909325269186
2018-02-01,SW1,0.31338253412748,-0.030876130746067
2018-03-01,SW1,0.417843930032532,-0.150666206323457
2018-04-01,SW1,0.417843930032532,-0.40001661490896
2018-05-01,SW1,0.412329252770341,-0.266952697052236
2018-06-01,SW1,0.412329252770341,-0.266952697052236
2018-07-01,SW1,0.338944845583301,-0.266952697052236
2018-08-01,SW1,0.286091118680488,-0.236370799899977
2018-09-01,SW1,0.262765986450217,-0.406920138241805
2018-10-01,SW1,0.421239350764959,-0.0830537205088155
2018-11-01,SW1,0.19126267725213,-0.320676709316203
2018-12-01,SW1,0.239378625695259,-0.266952697052236
2019-01-01,SW1,0.209442217934368,-0.266952697052236
2019-02-01,SW1,0.268453670142781,-0.320676709316203
2019-03-01,SW1,0.418706932802024,-0.164001928106356
2019-04-01,SW1,0.412516190982619,-0.146220965729157
2019-05-01,SW1,0.308874549634919,0.165024427395044
2019-06-01,SW1,0.309502843835496,0.215978913953878
2019-07-01,SW1,0.406627637295873,-0.162042831757184
2019-08-01,SW1,0.276420293483419,-0.522159438295334
2019-09-01,SW1,0.31178002630063,-0.407010419215453
2019-10-01,SW1,0.294040467109711,-0.418430268927914
2019-11-01,SW1,0.406627637295873,-0.409507110559662
2019-12-01,SW1,0.406814575508151,-0.300952058712073
2020-01-01,SW1,0.289941384641813,-0.407010419215453
2020-02-01,SW1,0.276742118528399,-0.522159438295334
2020-03-01,SW1,0.332213006541248,-0.388090282568886
2020-04-01,SW1,0.415180060507575,-0.267050422709561
2020-05-01,SW1,0.406627637295873,-0.291861400135573
2020-06-01,SW1,0.309502843835496,-0.266952697052236
2020-07-01,SW1,0.295299096319098,0.124961987500394
2020-08-01,SW1,0.294773171830384,0.207466756947946
2020-09-01,SW1,0.294369727970121,0.107444804088729
2020-10-01,SW1,0.417843930032532,0.0863003089624512
2020-11-01,SW1,0.271592243551005,0.108684683446242
2020-12-01,SW1,0.295865276673535,0.0171483441449424
2021-01-01,SW1,0.297467220122787,0.0549804308752278
2021-02-01,SW1,0.363705214941796,-0.283827878402529
2021-03-01,SW1,0.265129470641709,-0.376758232504351
2021-04-01,SW1,0.27497251272954,-0.375393391790319
2021-05-01,SW1,0.19031787269606,-0.402976429919328
2021-06-01,SW1,-0.138122277126708,-0.429987020351596
2021-07-01,SW1,0.227290402753208,-0.402935427289815
2021-08-01,SW1,0.353607212883202,-0.364898967841942
2021-09-01,SW1,-0.139310218430672,-0.430158386603293
2021-10-01,SW1,-0.120272630385215,-0.348096577509681
2021-11-01,SW1,-0.126885885144612,-0.418024885132831
2021-12-01,SW1,-0.112095020889456,-0.442116239297863
2022-01-01,SW1,-0.112095020889456,-0.522159438295334
2022-02-01,SW1,-0.102235547867567,-0.522159438295334
2022-03-01,SW1,-0.112095020889456,-0.522159438295334
2022-04-01,SW1,-0.112095020889456,-0.522159438295334
2022-05-01,SW1,-0.123600628182335,-0.522159438295334
2022-06-01,SW1,0.353607212883202,-0.36099442343473
2022-07-01,SW1,0.29378562059582,-0.318437503685261
2022-08-01,SW1,0.169020707620662,-0.522159438295334
2022-09-01,SW1,0.276029297669919,-0.435473381244952
2022-10-01,SW1,0.264564693868912,-0.416343152629631
2022-11-01,SW1,0.264870504042776,-0.412295110686601
2022-12-01,SW1,0.264966080592334,-0.412295110686601
2023-01-01,SW1,0.264966080592334,-0.416343152629631
2023-02-01,SW1,0.264146235661262,-0.412295110686601
2023-03-01,SW1,0.264564693868912,-0.412295110686601
2023-04-01,SW1,0.275298879117223,-0.400130500480263
2023-05-01,SW1,0.267349724468386,-0.412295110686601
2023-06-01,SW1,0.267349724468386,-0.412295110686601
2023-07-01,SW1,0.264870504042776,-0.416343152629631
2023-08-01,SW1,0.266277757394261,-0.449230169349848
2023-09-01,SW1,0.250220546313502,-0.522159438295334
2023-10-01,SW1,0.353607212883202,-0.407029223420143
2023-11-01,SW1,0.294747263730783,0.080722586317032
2023-12-01,SW1,0.295307516533007,0.095402025972411
2024-01-01,SW1,0.298827198318789,0.00187559111987146
2024-02-01,SW1,0.300187176514791,0.189132048759415
2024-03-01,SW1,0.298827198318789,0.00187559111987146
2024-04-01,SW1,0.292853118161916,0.0594126801716953
2024-05-01,SW1,0.295328888744848,0.0596555865070709
2024-06-01,SW1,0.295307516533007,0.0940256441175019
2024-07-01,SW1,0.292804550326817,0.187931312810434
2024-08-01,SW1,0.293976654080543,0.187419292168087
2024-09-01,SW1,0.294747263730783,0.080722586317032
2024-10-01,SW1,0.294773171830384,0.165024427395044
2024-11-01,SW1,0.294369727970121,0.106113845097889
2024-12-01,SW1,0.31129537209225,0.0504772221466339
2025-01-01,SW1,0.332557930618805,-0.0972969177394694
2025-02-01,SW1,0.317308795833232,-0.0654955379128837
2025-03-01,SW1,0.31129537209225,-0.0321161523965065
2025-04-01,SW1,0.309502843835496,0.215978913953878
2025-05-01,SW1,0.317660800601763,0.173066763164037
2025-06-01,SW1,0.360933339878088,-0.105450925737751
2025-07-01,SW1,0.317308795833232,-0.00969537720431092
2025-08-01,SW1,0.29380019094635,0.154970358502804
2025-09-01,SW1,0.290914857719629,-0.0321864857899285
2025-10-01,SW1,0.406627637295873,-0.266585218455915
2025-11-01,SW1,0.419892500541096,-0.213261801408344
2025-12-01,SW1,0.332557930618805,-0.266952697052236
2026-01-01,SW1,0.291291924733768,-0.0354555170109529
2026-02-01,SW1,0.361396157474771,-0.253724706360419
2026-03-01,SW1,0.31129537209225,-0.369598052350737
