V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.230708932658787,0.350111574625176,-0.137483992054588,-0.142709966387099,0.43867390568938,0.241371218170372,0.337165308634549,0.42477407226016,0.374261722379556,0.276223007056935
0.218809566424804,0.39035313952848,-0.17615851763637,-0.0989099447052884,0.459592275503347,0.255454926981293,0.352930463466217,0.454203185346352,0.394525042772751,0.311637523018993
0.208388307307895,0.430020132184382,-0.18618881192103,-0.0409941171654474,0.472952074373991,0.27034018625333,0.345202244514994,0.470730332484389,0.420106620955159,0.348993847330915
0.216023500829179,0.441078714103289,-0.179680932222145,0.00362042347449829,0.473216812620964,0.286135426606948,0.310838044422574,0.489038735839379,0.435973125953316,0.381592149738591
0.228724824407737,0.443993414385024,-0.166001850307692,0.0353273506702843,0.474592481932087,0.305849906929885,0.273375370054788,0.499993067048324,0.453026381062813,0.404368136514086
0.242001537910198,0.45305921064002,-0.138866173227625,0.0667298111450376,0.478387701709958,0.319542424471398,0.234348370413769,0.484326488748253,0.458596715243685,0.412891293758941
0.268433316874378,0.473568262400709,-0.0892461206454242,0.107671073488629,0.480922501783736,0.328987046907107,0.199417071053127,0.459355507291602,0.462811346246079,0.426810132960341
0.300206372957396,0.492151684270966,-0.0354115671362578,0.153628420709198,0.48237983622784,0.336417103531001,0.173856794851614,0.446155008698065,0.457261471241114,0.453832032748907
0.317308795833232,0.49186924031307,0.0106702909128053,0.177698360939406,0.483943069814291,0.344889190197498,0.15305989890146,0.445896330062904,0.433862597785819,0.471083994567011
0.332557930618805,0.484529973709792,0.0455531157012886,0.183282079098135,0.486456815778493,0.35623484356887,0.13786193416826,0.450505526949892,0.409486912864252,0.464759520446751
0.34168980755905,0.478052871020766,0.06537853897262,0.195197700284945,0.488944148586718,0.361330178167829,0.127478004084254,0.452350384184488,0.392734406286647,0.45056215139097
0.327285674531329,0.46894437056947,0.0911301214832327,0.223548754045168,0.49412794807635,0.372926093868921,0.112935867940913,0.447610594770441,0.375623051405475,0.442183562745401
0.296351588798721,0.442911674029965,0.133257071589213,0.256861544744065,0.496166873591946,0.389838788340223,0.109349962683277,0.450848125789952,0.367390693594384,0.436944959677374
0.283941660385862,0.399705883195071,0.162831092198126,0.276132338666448,0.49269332916575,0.396608787716956,0.120409009477379,0.450690693420315,0.359471230823005,0.435534188724448
0.289614440331486,0.362302056008829,0.180708150872731,0.284352995289229,0.496633210180083,0.405882848787583,0.15689877055675,0.449770226874067,0.347594764546806,0.431391857829107
0.276532751505946,0.333579773371256,0.202177353955734,0.295236778899254,0.505206458664472,0.415527865726388,0.220192333743045,0.457828237153833,0.329592515728408,0.421217686610401
0.244774906422417,0.30863302890025,0.232463839517546,0.311091999836586,0.508159133057729,0.425451920598059,0.280325950716878,0.461416168969524,0.311853194786245,0.419054757908331
