"","x"
"1",0.0677720835955741
"2",0.0562096553371454
"3",0.0582801872794158
"4",0.0821777902635821
"5",0.106895100094189
"6",0.120507844027138
"7",0.248628740407022
"8",0.35803381833
"9",0.371534339569207
"10",0.396447657195656
"11",0.422874000445011
"12",0.450722390661512
"13",0.495914437258004
"14",0.5543317515786
"15",0.599973957354779
"16",0.619500837319973
"17",0.640494899182152
"18",0.610313805889514
"19",0.630343172921537
"20",0.623766264029214
"21",0.52158633634259
"22",0.465386531493301
"23",0.442641720114564
"24",0.448581143068495
"25",0.419373147036159
"26",0.376885953498312
"27",0.324780079182224
"28",0.29639030359109
"29",0.256476897315586
"30",0.242957213291813
"31",0.189120596663753
"32",0.0817888323395289
"33",0.0332647042986818
"34",0.026541519656565
"35",0.00405463114709914
"36",-0.0517385986432668
"37",-0.0452713033573966
"38",-0.0467329712445909
"39",-0.0544708756100932
"40",-0.0751812844167381
"41",-0.0919414280680285
"42",-0.048815781883394
"43",-0.172400456808623
"44",-0.274877123421204
"45",-0.201451779167923
"46",-0.210523257934176
"47",-0.210697248420141
"48",-0.183283302434171
"49",-0.217047045840029
"50",-0.220088216155856
"51",-0.178145169329346
"52",-0.138455795548874
"53",-0.110222511862703
"54",-0.203436589546935
"55",-0.290142671309418
"56",-0.242544874761464
"57",-0.211577050845472
"58",-0.168341382929246
"59",-0.13169670652081
"60",-0.0939937179241255
"61",-0.0449051746250815
"62",-0.0595834940699508
"63",-0.109098789691066
"64",-0.144821563630932
"65",-0.144072813312979
"66",-0.113662501574437
"67",-0.0485062971759225
"68",-0.0834150915165358
"69",-0.161925748405071
"70",-0.188121465260792
"71",-0.253911886598237
"72",-0.309728375783447
"73",-0.315506814199261
"74",-0.307165855141709
"75",-0.308279567489766
"76",-0.319141663329033
"77",-0.336500482539103
"78",-0.330778237853098
"79",-0.344371216510031
"80",-0.308509799730452
"81",-0.246066184053941
"82",-0.234360456320509
"83",-0.16218779772851
"84",-0.101445837337751
"85",-0.0918303982376759
"86",-0.0574999959961671
"87",-0.0281969784716719
"88",-0.0182234415343277
"89",-0.017580329368604
"90",0.0212785934178091
"91",0.0184743806931641
"92",-0.0938921724891619
"93",-0.144843413748376
"94",-0.129356505275122
"95",-0.172811098684935
"96",-0.236343340200635
"97",-0.269639845745108
"98",-0.302146647613216
"99",-0.312123954652499
"100",-0.295119881726663
"101",-0.287090605482935
"102",-0.359505100817848
"103",-0.356990730646718
"104",-0.236738637687598
"105",-0.165512013774668
"106",-0.138734313393827
"107",-0.0901362472547945
"108",-0.0650656557133348
"109",-0.113639679898453
"110",-0.141789223957216
"111",-0.153174690607581
"112",-0.180773734376466
"113",-0.179434216780123
"114",-0.106024103464522
"115",0.038991697070271
"116",0.0993108831036711
"117",0.0633118596702529
"118",0.0122847539620325
"119",-0.0423095351426595
"120",-0.0355672586388922
"121",0.0330080809979707
"122",0.0718820992102387
"123",0.0689897474142268
"124",0.0854193474666954
"125",0.0755155858384886
"126",0.071536231857282
"127",0.0563964080485128
"128",0.0689183555817062
"129",0.0772189641356608
"130",0.0679093427431789
"131",0.0859982435118753
"132",0.0864190922661471
"133",0.0917273957467848
"134",0.148554054997771
"135",0.215065294592834
"136",0.244084673184085
"137",0.277076655765112
"138",0.295615943769016
"139",0.273342324042941
"140",0.218669107121082
"141",0.193732151199266
"142",0.206483270195472
"143",0.191965355667248
"144",0.152076036306895
"145",0.0916828735717356
"146",0.0240799182958752
"147",-0.00108727925150267
"148",0.0277521425059538
"149",0.0535246938773847
"150",0.0174876137296985
"151",-0.0658575289170483
"152",-0.136925413524291
"153",-0.146427159574641
"154",-0.164452375021287
"155",-0.182067440583265
"156",-0.159383554969833
"157",-0.121523380795812
"158",-0.115872452327797
"159",-0.119030154572773
"160",-0.156047251449486
"161",-0.212341337540404
"162",-0.218082175565746
