ERA5
445866.951972013
645522.337004349
1032257.20267728
1823787.86443245
2618523.72057915
3182593.99637129
3261712.01057039
3139165.59821451
2321841.37797408
1478717.17537407
699516.377515423
422573.75730473
411065.951600283
751680.926041263
1343931.54940935
1976832.35907533
2893010.397752
3506532.18012536
3326351.15318637
3109940.64385469
2350908.81857698
1383409.94198274
702854.435983435
414435.83911896
410176.467177196
583171.765939582
1138313.23262545
2046154.92569275
2732338.66327578
3398166.72322217
3515673.71905141
3011956.93780359
2353982.50034222
1464686.40211189
704920.851884114
495825.513749233
417720.840767108
702463.378452233
1281351.51414232
2020101.54309375
2910623.26123793
3564018.17710995
3445358.9212431
3267807.78076173
2334646.40458344
1359998.70621885
696102.399142769
384661.907187079
472110.864095218
662809.54221976
1106964.73474101
1936320.14488228
2866615.09931612
3436789.83278548
3422315.60694085
3221325.08293327
2420113.80651015
1432335.04061407
797871.904553364
436350.358300959
368637.546646233
648989.331011069
1508770.25651641
2230634.17168954
2882146.45528638
3520145.57439149
3548023.45145629
3263890.10658838
2243993.77588067
1347689.65982484
700367.979045801
464216.37197807
453654.635815799
736549.850741201
1253676.33009869
1841298.60605355
2755114.71622263
3448110.45495334
3535120.57114762
3061136.7338626
2177147.4627368
1454588.89598349
701755.296896326
407891.303521699
490453.619175104
685098.812240343
1260321.99884291
2047734.14117466
2801143.54434899
3546207.8779938
3549363.31175093
3203801.0866328
2359301.24486376
1427371.94148834
811777.495783122
543054.269057731
455027.243385356
617358.384067895
1160896.46507698
2021046.2060853
2816940.69289791
3317330.93724805
3569143.53368007
3130691.2127897
2331543.35530401
1372096.56588151
645204.295573825
453084.131627028
439232.036993829
605990.533850253
1138387.41505514
2243821.54630408
2937178.97929173
3486435.35056362
3609043.55459213
3211231.7610661
2294614.90591922
1416325.73913181
707970.287181905
419919.271716543
474170.272352832
687552.040890351
1286725.23945649
2056563.64349978
2867895.59557155
3459547.94284007
3403135.02311183
2958782.94424358
2350316.15956722
1414776.69723024
696699.516168653
452926.89232129
430918.601986835
659322.440716809
1171879.13585509
2024853.04688979
2979973.2932354
3563742.32682085
3488255.97963646
3313437.50515453
2300864.52826206
1288618.99423378
651576.7420012
445095.787250951
470473.654459811
696174.497920146
1096046.31128198
2011381.14787388
2797745.22320566
3537777.92566708
3642949.00719028
3192849.55786202
2339297.65307006
1372841.28398414
647359.660135529
440625.743724281
478959.309580756
800276.948767899
1247363.06543939
2040173.28474856
2777908.47700965
3342836.78296517
3354259.28902141
3231828.22355779
2336470.31820093
1357562.73914989
756618.784312018
479874.578673059
453724.764928647
661877.28349685
1153470.73335529
2049394.31307625
2935544.59005453
3438391.399715
3632967.39327626
3278059.4168635
2430011.88668574
1423298.85736107
769404.383630838
504055.58985479
