date,ACCESS.ESM1.5,BCC.CSM2.MR,CanESM5,GFDL.ESM4,IPSL.CM6A.LR,MIROC6,MRI.ESM2.0,NorESM2.LM
17532,0.0354514046847239,0.0220924754565694,-0.0763970251182432,-0.0622252953862184,-0.247777825058553,0.0244187279571587,0.250010462019586,0.255095889536838
17563,0.0352418192405938,0.0196364789153911,-0.0771617235281023,-0.0986727560592362,-0.226954260611915,0.0238610618427823,0.255349693059562,0.241002725888865
17591,0.0352550165069842,0.0212532197847903,-0.0771617235281023,-0.158896152174164,-0.220149332745706,0.0275149194985421,0.256150330625256,0.234004402675488
17622,0.0372946365890846,0.0280099958454498,-0.0827096758702364,-0.204031285745342,-0.197476212654177,0.0205753442341759,0.232714123512806,0.217648152061033
17652,0.0357905897332429,0.0285946759205365,-0.0796892833174524,-0.195202934099134,-0.217290802028445,0.0198419372618989,0.239532883323725,0.197781677794436
17683,0.0282450395394816,0.0329704829196213,-0.075818419048542,-0.196935188065577,-0.217848518567252,0.029178087237969,0.2493835623741,0.178648548773664
17713,0.0422390501731139,0.0413402604066693,-0.0811184562508379,-0.249570386604346,-0.245740628180311,0.0229111100043257,0.253378126032663,0.19211624144703
17744,0.0434654057667458,0.0407926768146022,-0.0863556714361627,-0.264412384445851,-0.243366794578696,0.0730239424091281,0.2493835623741,0.186615359224248
17775,0.046843566444126,0.0340783914265299,-0.0796892833174524,-0.25760323968482,-0.232635832452469,0.0623906957944748,0.232313413144501,0.176156304469509
17805,0.0604890499332045,-0.0312992071119979,-0.078083649635956,-0.265092265935097,-0.222925591261076,0.060079069263822,0.224842481566473,0.204728702507504
17836,0.0606486227363809,-0.0352395839117115,-0.077451001147001,-0.218432632872803,-0.217789852489028,0.0965299065095359,0.238817421731875,0.199986570164761
17866,0.0606486227363809,0.0344517204269539,-0.0760964129668756,-0.181108495263806,-0.212740293993381,0.0893763406846524,0.22162122273958,0.178575692081125
17897,0.0821833454244942,0.0375056258854319,0.1064653555313,-0.201443442774996,-0.21026545589766,0.0703626703758485,0.221182852129804,0.196001458361508
17928,0.076889828657039,0.0386900057106322,0.176379197461011,-0.201443442774996,-0.221219312584864,0.0649149095321416,0.222463804731435,0.205460262311523
17956,0.0744370892185968,0.0373456918724623,-0.0881794023817593,-0.202109890027518,-0.232849930028837,0.0791995915021374,0.218833988394971,0.208624097608961
17987,0.0742159403273897,0.0420655414974833,-0.0884910417519036,-0.212784945015618,-0.218651269263963,0.0344165141949578,0.238005603214384,0.208568376826387
18017,0.0700952640442748,-0.0253911914933593,-0.0860616317002691,-0.245442405479838,-0.216508159636999,0.0269182432551291,0.211673474176334,0.212907664901737
18048,0.0674346451379443,-0.0474494318085281,-0.0900071618617809,-0.212855568733542,-0.212799945010711,0.0222526141013354,0.203856798811693,0.197121958502705
18078,0.0668428846548622,0.137655784919155,-0.0809796865237978,-0.215452636769132,-0.124846838378374,0.0192622122759163,0.219104393391712,0.215208131481071
18109,0.128669822303784,0.134062639500654,0.0766790168801266,-0.155960895194644,-0.138900568402693,0.0162422073076997,0.22018758874862,0.204470310485136
18140,0.122941669211953,0.0561701592241788,0.0747155596557134,0.230183413745235,-0.216487774159773,0.0213644893015204,0.216128668974781,0.214072103373694
18170,0.122941669211953,0.0558766640684035,0.163892313338824,0.246928770851356,-0.175009001160065,0.0955277107180326,0.217905010475402,0.210091741971001
18201,0.119338448718033,-0.00683811398064703,0.18445244002676,0.272335899887642,0.00902941741784148,0.0911495932782162,0.200207986769623,0.213305885064927
18231,0.106779700115127,-0.0464079624391854,0.194636679869767,0.270081259882482,0.11288825457131,0.00281665521732355,0.207533513829923,0.211760587429555
18262,0.119836139836322,-0.049572247868155,0.203802427596235,0.260674424275494,0.214712759153083,-0.247907733843735,0.206369038091272,0.201692615228738
18293,0.123404246780046,-0.0426288723677618,0.185620880183423,0.250434594065455,0.252828216710176,-0.261477982279676,0.203780986875993,0.205265202929403
18322,0.123103669149451,-0.0409382518089263,0.141248497778264,0.259089782645336,0.158672280149881,-0.0145994795746522,0.207396408175293,0.165838359563214
18353,0.123168604970287,-0.0504443217185494,0.135735218444374,0.242982683333269,0.213543935135818,-0.0839553661637513,0.21041367423583,0.159301535486147
18383,0.135457456808201,-0.0441205558170145,0.119611909188521,0.230280103965975,0.255805027414595,-0.380532461941982,0.261053328626359,0.143329880741407
18414,0.139667525685943,-0.0444435390377183,0.102047834884945,0.22784707655881,0.225932245270946,-0.343561125813142,0.267313940389915,0.148107531717236
18444,0.130791898501325,-0.0913745088939348,0.0908169831512033,0.22919227980946,0.0067866820915216,-0.368980641536727,0.258603833212846,0.162803898715861
18475,0.0673525034139253,-0.082446874011651,0.0823192402625493,0.223244801134422,-0.0259624845516381,-0.375380159779585,0.260408712469203,0.128273562011579
18506,0.0261460345084452,-0.0701380931150824,0.118981171307877,0.219187602463991,-0.0526610938276844,-0.367945248435356,0.27208151295596,0.0387849822170335
18536,0.0356955295255954,-0.0630530603913506,0.101847450946636,0.0255227079837991,-0.202338513888795,-0.135090961039715,0.270772337081372,-5.66215564009009e-05
18567,0.0428414054444337,-0.0481786600783599,0.120029735664758,0.0516749792220098,-0.0706740585676965,0.196554673264837,0.275761606190287,0.00398661524962955
18597,0.0510082169955697,-0.0382308133163971,0.163372808525605,0.04311667485616,-0.0996118486963419,0.167969226351577,0.241828363365548,-0.000409603372080417
18628,0.0518887916525838,-0.0370936587446884,0.182490317125236,0.0489304312235777,-0.221130146016483,0.159787231016507,0.23319679587513,-0.0282509170211765
18659,0.0528396023663241,-0.0418483627596508,0.18284550125515,0.0535145349234536,-0.225050426476696,0.140929896099632,0.228481013568078,-0.029326793329076
18687,0.0532372722893922,-0.0398162987029317,0.177742869007713,0.0414350064897687,-0.19721767377927,0.180071546743345,0.235217516273186,-0.0392544183970315
18718,0.0525931375247807,-0.0327564386753279,0.17885241302109,-0.0685889455615937,-0.172588228542532,0.198190958688038,0.249430017897919,-0.0413887639454567
18748,0.0514712637597277,-0.0423412630460048,0.14941365825952,-0.0710923644649945,-0.00819573573054782,0.164069704322093,0.218189249274899,-0.024167771145363
18779,0.0525149853607374,-0.0283400615115013,0.132268042641203,-0.130794128151594,-0.012303204598425,0.0395225494366183,0.226039257965745,-0.0587280699864717
18809,0.0507598415466696,-0.0474422667395699,0.140329352719494,0.027814061391978,-0.201907049715368,-0.0654998113870676,0.27071816358656,-0.0613355892124063
18840,0.0519250654471234,-0.066920638815616,0.167563794348002,0.0407865293829249,-0.197846812375292,-0.212729772477394,0.280667491641353,-0.0645338120747396
18871,0.0424957882052096,-0.0569751448127959,0.170792027430467,0.0385150794122328,0.00749284204033906,-0.0278814295769574,0.285286609306573,-0.110082629999849
18901,0.0378512652768663,-0.0477859079862026,0.178884641762043,0.0505018521349449,0.149270088888411,0.0300002962108416,0.27423700702909,-0.213210973738238
18932,0.0329885217080578,0.0292350046418237,0.201672433646105,0.0492597237516911,-0.00677061263843258,-0.195724813174311,0.285536512644859,-0.311530492853469
