date,ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
2017-07-01,41555.8961721748,55351.0969259249,44980.3547083535,38945.0298334526,29047.4199643026,31175.7040810681,45394.4827652238,43944.6254913135
2017-08-01,58526.5926073051,34784.7497247425,43418.9250986868,61656.3775251531,27977.7658101995,56835.8854047988,41188.662093102,30341.6899949356
2017-09-01,48536.3058772129,29496.0858695619,43418.9250986868,32301.8832708309,26203.568726701,44023.7289027973,29341.7960959878,20152.8206815853
2017-10-01,48536.3058772129,31339.4536118072,40522.9905671023,37075.0389409833,71282.1960890739,62620.0628812905,34533.414797707,31632.5520029951
2017-11-01,54130.9534684114,43535.7885641304,55392.8274394618,22717.4574220451,35241.204079138,31780.496306137,34456.2177062837,38688.3809277546
2017-12-01,72133.9478239456,48094.7716711228,60473.0426194088,47431.0797263581,23492.5937164286,45583.5054104245,52057.6706110175,50386.917527967
2018-01-01,68771.6906353192,48004.0402923213,61156.4692935808,61229.2935221727,43482.3386253915,73307.158670157,51147.0354052956,48715.032915414
2018-02-01,31747.407905403,58515.325655182,58648.4817195062,55194.3825273538,52809.5994799788,38894.0222911143,49784.343682049,38260.6616442792
2018-03-01,55845.0434683494,46798.5926303653,46324.0954218863,51067.2323980699,41414.6249123907,47476.479854993,63008.3649140682,50205.6409004776
2018-04-01,60125.2403310323,53252.4300969558,55540.8907339451,53585.0281663766,57507.6817903921,39062.9033332831,64428.3949528851,68624.9569624924
2018-05-01,51368.3322967924,30622.9800648338,36350.8516737929,28865.6662095641,42321.0227335072,48639.2923745527,29569.549817071,31879.7945348943
2018-06-01,23826.7845390754,31296.2088061324,55008.0883953477,46066.8052297673,25427.867592909,40452.7380204681,36757.7564346254,36534.5397624565
2018-07-01,25690.2552533169,51678.6019119085,40187.8463813817,28865.6662095641,39601.5829892318,36158.4739716389,43692.5767957287,20152.8206815853
2018-08-01,50302.9711169471,38085.501037787,45556.2698307085,38945.0298334526,44840.0263481681,38031.6454358736,42071.8992134819,31815.5374448558
2018-09-01,47350.2104344631,35181.2755140413,29923.8530133924,35686.8322548928,43802.5964317167,38838.0401309643,44468.0667265237,30341.6899949356
2018-10-01,44430.044085663,36875.0748057246,55008.0883953477,48985.4456983996,66271.6980528849,58895.0919918716,31547.0659078117,42596.2621104038
2018-11-01,52061.9824549323,45766.4157356241,46509.5320698466,20894.1137307133,48257.7387140984,38894.0222911143,29723.5138830708,29885.64583453
2018-12-01,66701.0205844267,67260.3308280605,60703.1781859943,53713.3038885144,56788.1625782389,55091.3277728519,67693.6431193493,36576.3367941509
2019-01-01,38988.7916140868,49682.4086476635,46573.6716010269,58125.2560345687,63085.1558039308,60306.2361191972,43905.0577383124,36576.3367941509
2019-02-01,42379.6865269929,60508.1429780812,59523.6291180022,58065.5133725261,68246.7022791282,53698.0893722812,63805.0748990269,49993.0104871987
2019-03-01,51723.7995005979,47646.947184568,80126.5597378898,53743.4310068927,42230.0031462739,48959.0209074628,63805.0748990269,48822.3691875912
2019-04-01,51389.174166714,44111.1885421288,53537.152334599,45284.7870570128,41414.6249123907,44366.9742418829,66096.2271547613,68708.3862323799
2019-05-01,31427.8369095697,48333.609624671,47606.2932684162,28865.6662095641,65216.8410186747,59041.69163063,64811.6045756619,45428.3280144836
2019-06-01,45977.7533095655,48333.609624671,25544.4800439207,37287.7725364284,23385.4528290814,38119.1688731332,48810.3715375565,24501.1822015146
2019-07-01,38355.5856769962,54097.6742126484,39788.5899727207,39812.4203216661,69522.8987103801,33963.9147353532,39281.1172256698,25498.9275038261
2019-08-01,20834.7854845057,31233.1145496,34115.2115331738,32321.7797423273,33375.2787249508,33707.5226789975,42251.4029172023,40535.3575097525
2019-09-01,42533.7235790314,51634.3391125006,43842.6467197341,49110.5668074603,31541.9718483004,41281.7458262735,51018.2965708939,25268.4052087714
2019-10-01,48536.3058772129,38082.8637263738,21687.7530206407,55419.9888351976,28984.0310545116,42445.7947470543,45185.9619526276,29885.64583453
2019-11-01,38284.5452164919,47888.4661255868,46762.9810671662,28865.6662095641,48257.7387140984,35821.2907512133,29723.5138830708,42186.676115348
2019-12-01,72133.9478239456,49575.0659047628,54527.0098182054,62551.8102269871,62711.0786601311,47153.8287884328,56208.3503495156,49299.7192651923
2020-01-01,43415.6580452642,53093.7783917315,41147.7113481877,62551.8102269871,52903.7993452279,38210.2741624184,46630.8731701735,36623.5146424292
2020-02-01,46667.2084569216,47858.74317671,47490.3525321536,57690.4411586735,48367.2047809519,68914.1245032222,48810.638847724,65716.4184442061
2020-03-01,55182.6525554406,46755.4165164864,55075.2016825809,54346.2380491074,55608.5322303102,61239.5159613488,51106.6063534264,65369.3248226266
2020-04-01,48851.2681362468,41839.4214293889,58648.4817195062,50999.4371173186,57525.1561938998,28712.8328420246,54504.1081775143,63113.1392268755
2020-05-01,54860.6553601638,27258.7639902996,37469.9143804276,57888.8750896069,23385.4528290814,48639.2923745527,33142.6279990883,36665.4333378381
2020-06-01,33040.1843341311,51813.1219418959,36951.3265650398,39690.5089015844,24482.1725076404,39646.8013494768,54912.6451784276,39225.1834864334
2020-07-01,47350.2104344631,34443.6459947845,38029.459036383,41434.0655757868,28101.4722613144,41281.7458262735,54912.6451784276,30449.3051005222
2020-08-01,43690.3770767414,31099.319837669,32658.1537129084,35669.2602489107,27552.989778318,33426.2376475681,31230.1484361956,43944.6254913135
2020-09-01,25690.2552533169,44444.6284070812,33920.387982908,36883.0309061895,41251.1775105986,33632.7362278311,47453.7056346261,28574.8015882077
2020-10-01,52608.9807075614,41861.9914074718,46200.8647706857,57235.7931413936,66724.3921477313,69179.1232994917,32187.2073545829,23124.6880268481
2020-11-01,50746.9710828879,41483.2334903264,58648.4817195062,34448.8880182196,71282.1960890739,56835.9987314711,29460.4377023649,36665.4333378381
2020-12-01,45613.3868197387,48222.8147976154,59523.6291180022,51022.4726824257,62071.3232029467,34063.8179661783,63805.0748990269,48572.4407494982
2021-01-01,46920.1573645315,53093.7783917315,43310.8299399199,58563.3631548193,56788.1625782389,69473.136430207,58718.9252648369,36623.5146424292
2021-02-01,66402.9775616726,48222.8147976154,41335.0293538338,69002.9262643434,48901.7753070416,51429.6437580246,64784.993368149,49100.4774954631
2021-03-01,40682.2340052727,57254.8263239087,46573.6716010269,48743.1669458947,41421.0928661806,43823.9998521768,51210.1804040122,76842.003290186
2021-04-01,48931.1522082166,38840.5066258945,70432.5002027999,48743.1669458947,63626.033063277,35977.5358494751,37479.676827166,51334.9300545504
2021-05-01,50288.8044542481,26827.4935847992,18801.8235037233,57445.7073321564,65140.4421548761,32135.2939232186,45257.9124087004,41391.4264734709
2021-06-01,39588.3677278789,44763.3281640033,40522.9905671023,35377.7012818964,28347.9383215969,33990.0727780049,29739.8072665813,30959.4059180747
2021-07-01,50302.9711169471,51669.7920674047,45355.607104936,56795.7925273255,29910.7661787506,30225.3035652539,29223.491987549,23116.4373794417
2021-08-01,43236.4636466326,51813.1219418959,40497.4456208618,37807.7534142859,43802.5964317167,37644.2082129414,42153.624843347,41618.4045166238
2021-09-01,42633.9960689566,28999.6506122262,29365.3972386612,39552.1562731816,43319.5516704155,44261.599367475,34322.1012015455,30341.6899949356
