date,ERA5,ACCESS.ESM1.5,BCC.CSM2.MR,CanESM5,GFDL.ESM4,IPSL.CM6A.LR,MIROC6,MRI.ESM2.0,NorESM2.LM
2003-01-01,49907.8150491663,83209.0777389594,52348.6849813565,70333.204449217,54577.9260387879,64890.3015931565,68251.5776452935,57531.6331595462,57888.2052164071
2003-02-01,52749.815879887,49412.7386924482,63866.5189485615,55204.571659385,51091.3088701949,56161.2691741063,58212.3769887415,57423.3147977157,57673.1930869629
2003-03-01,50832.5769706441,47492.6872895958,56756.5367185904,56189.4124619477,50035.3987847985,55683.5456973244,58121.5680337588,50048.6185303776,56245.1492113296
2003-04-01,56437.0661140611,63974.3465337048,59609.4559351887,58772.3168007639,55267.5310237189,61913.5755794466,59029.5934473732,60290.1878222756,54457.8374799879
2003-05-01,55507.7947972544,62104.3459108709,75776.6143327035,62699.068737271,65299.5282040184,65704.6101011438,59023.8253957629,61730.6674093542,60919.6155899341
2003-06-01,61289.8388818048,66620.8089874766,66914.5511937595,60272.2016960428,63482.3501095716,86948.3469677339,76590.9278389669,57741.5574086486,71612.9348898591
2003-07-01,61548.4455196238,59982.5908346885,62171.7025815275,61382.483747699,61586.7039551645,61692.2404846618,64693.7070299761,65042.1981721204,66555.0620037675
2003-08-01,65279.6697180375,72481.5541351132,63342.9390582185,64379.9512081223,66393.4585791111,72881.4719464139,73422.8695099051,74562.7715788306,69463.3005389864
2003-09-01,83621.3451172124,74610.416096896,78195.5476795426,77656.7800970274,84225.0267979828,75023.4894027636,84890.0950934698,75955.1893552084,72665.7994270378
2003-10-01,97422.7939097386,80798.5522469602,76717.9271552911,80727.7047781793,92813.2633983508,91258.863573709,89505.7034594907,83897.805216227,84210.7375839276
2003-11-01,100670.837648663,76906.1855390147,69522.6374783436,71022.0319349973,81619.7789634682,87793.2895528093,49851.2842554477,57275.055694997,61441.1839325754
2003-12-01,86823.7292089947,73026.8311195033,74658.606178811,84627.6115176689,78274.6817998484,72774.9215646791,75997.3881846228,75587.9210883104,70520.7381005611
2004-01-01,70403.9509179738,53944.4688727695,47563.456674189,70333.204449217,70805.8287444939,69316.3750578508,55305.9376927026,68418.2404204846,51871.8320696913
2004-02-01,64789.7742002744,51224.7024460076,52468.5994764888,54209.5312224427,75647.6914796566,52212.7002080117,59029.5934473732,61129.9731362701,61017.264912331
2004-03-01,52228.722162949,60809.0808387082,57974.8508166173,69995.0132332454,55589.4164306519,55509.3439939273,62803.9097705001,60969.7901018844,74388.5441780638
2004-04-01,70368.8003375897,63846.8092557898,82072.207403527,62167.7241655307,62598.12827583,67797.7724563851,63223.0590300315,61915.0160661627,77933.113869952
2004-05-01,62279.0270110422,57140.1530605756,82178.0163714775,61438.6486629794,75924.1075341542,58131.3644486395,71374.9363510538,72846.4464042693,80923.2753175522
2004-06-01,61529.0322551464,66926.5007625723,66086.7981793413,61774.3832503313,66568.7705865358,73073.0176169186,62805.3241209624,68039.6236894353,63804.1797861445
