TWS_OBS,TWS_PROJ,SWs
0.374261722379556,0.127551044004271,SW9
0.394525042772751,0.25733493635454,SW9
0.420106620955159,0.253686299372242,SW9
0.435973125953316,0.250464425701052,SW9
0.453026381062813,0.3364899773073,SW9
0.458596715243685,0.30064553330122,SW9
0.462811346246079,0.279087376513291,SW9
0.457261471241114,0.100137566302571,SW9
0.433862597785819,0.315130578729647,SW9
0.409486912864252,0.222686275753032,SW9
0.392734406286647,0.124981461918849,SW9
0.375623051405475,0.288373264852054,SW9
0.367390693594384,0.286812092588984,SW9
0.359471230823005,0.298264575710718,SW9
0.347594764546806,0.334665718374828,SW9
0.329592515728408,0.308049669434537,SW9
0.311853194786245,0.307128009889959,SW9
0.313749305998407,0.299376432085921,SW9
0.308392897487659,0.271176664148535,SW9
0.311494360841327,0.263249937939287,SW9
0.324596990979406,0.263146169303275,SW9
0.324245393800105,0.307833136444101,SW9
0.319202505232107,0.313155000433405,SW9
0.315956415229536,0.312932772873481,SW9
0.311454827411179,0.308871978883641,SW9
0.309114054986825,0.307565068638405,SW9
0.313856279620419,0.243053685785087,SW9
0.328249634961919,0.240562949344078,SW9
0.339783125927343,0.200174543772093,SW9
0.340270365650875,0.242140527975896,SW9
0.35235781262398,0.26069114419094,SW9
0.354025369828809,0.295221542624097,SW9
0.34181446727096,0.28209097217245,SW9
0.340690114827453,0.332150859883615,SW9
0.339881614648095,0.230496769812194,SW9
0.333253253151333,0.16882926690932,SW9
0.322233536234901,0.173655888911348,SW9
0.301813685347228,0.152391747704604,SW9
0.281128624898011,0.116248803670752,SW9
0.263448340874128,0.226455485121145,SW9
0.239531827795314,0.230402142077285,SW9
0.22036012460599,0.211256877592225,SW9
0.201417912013193,0.208680632685309,SW9
0.18462981093605,0.227807203060474,SW9
0.172133241637234,0.157353065002796,SW9
0.148345762552963,0.149723827126962,SW9
0.11899251550485,0.147557296462471,SW9
0.0891049905431045,0.0753749926293811,SW9
0.0680897103797178,0.0613562091834657,SW9
0.0590226834614886,0.058587520316506,SW9
0.0463068401343678,0.0796222673244398,SW9
0.0245475310215884,0.0900385965241166,SW9
0.00116431903605907,0.0752989365398493,SW9
-0.026862622942928,0.0276966874209385,SW9
-0.0591752914590011,-0.086428520473414,SW9
-0.0978869544126725,-0.0766018415768619,SW9
-0.137082025457686,0.0611682800654392,SW9
-0.161973603956,-0.154733453967368,SW9
-0.183010071148388,-0.0870933679960355,SW9
-0.210403367342662,-0.0858138233438194,SW9
-0.243210967386599,0.258988060403455,SW9
-0.273091587045943,0.0139643416241119,SW9
-0.29516528565251,-0.0815767797668688,SW9
-0.309907062710263,-0.181765060359499,SW9
-0.318646078166615,0.20022498878268,SW9
-0.323705020099708,-0.181470883479816,SW9
-0.330358510070943,-0.114290418731957,SW9
-0.325569787768192,-0.23216386305473,SW9
-0.317035802604303,-0.291001294798476,SW9
-0.320531149106161,-0.289288358187068,SW9
-0.313574907719777,-0.285242414168436,SW9
-0.292966467943615,-0.310023370490727,SW9
-0.265223589595463,-0.319643133743102,SW9
-0.232693256826424,-0.432303616738358,SW9
-0.201805996679439,-0.238371397684593,SW9
-0.161452302711863,-0.18397734994515,SW9
-0.108221369054587,0.152078209868486,SW9
-0.059114093077474,-0.0306046545231367,SW9
-0.0225584267666961,0.185769220112104,SW9
0.000326976271498018,0.0201642060898358,SW9
0.0182168210341569,0.0195765470006062,SW9
0.0421184401734127,0.0507762166161372,SW9
0.0613767914996171,0.0781034688767471,SW9
0.0766719712609143,0.170195415577899,SW9
0.0897967899793131,0.192301832107994,SW9
0.100449544168106,0.16454365109068,SW9
0.109224590638639,0.187641322032417,SW9
0.100479112610264,0.16240473164578,SW9
0.0773185732275077,0.073978443253984,SW9
0.0597917961436915,0.0580888868932765,SW9
0.0581804747568182,0.0801025371098321,SW9
0.0546426253871033,0.0445987992547567,SW9
0.0475976254879356,0.123188787682091,SW9
0.0459473292647138,0.0802740573631412,SW9
0.037605762228875,0.0520301740578245,SW9
0.0259373252548921,0.151883940669703,SW9
0.00649111038606425,0.0549926486609084,SW9
-0.0197997075723672,-0.00247436543721107,SW9
-0.0448984590768777,-0.0618208068619348,SW9
-0.0655397700554326,-0.108078327375928,SW9
-0.0827753785299414,-0.103113670711727,SW9
-0.103432063228917,-0.115500466099518,SW9
-0.124157348099448,-0.119395804047734,SW9
-0.137431787027323,-0.112372518133735,SW9
-0.150948726768239,-0.0999130078700501,SW9
-0.166659321394959,0.0594585387687961,SW9
-0.17808674361286,-0.0770964148017652,SW9
-0.191202838324507,0.0453394267363002,SW9
-0.190243950986681,0.214886406902715,SW9
-0.188046242836882,-0.042757264759755,SW9
-0.197377639827164,0.150250518872044,SW9
-0.204531017717716,0.021285476901543,SW9
-0.209110672947168,-0.138744385116582,SW9
