Region,MMK
SW1,-4.21001228502664
SW2,-4.94171019095305
SW3,-3.99288181818205
SW4,-2.82072269048803
SW5,-5.81880033709949
SW6,-4.8097297524923
SW7,-4.1214590537437
SW8,-6.12079452287848
SW9,-5.76037103836953
SW10,-5.06672957851406
