Region,MMK
SW1,-2.67656722038977
SW2,-3.24518828546458
SW3,-3.81533714451047
SW4,-3.4651112400204
SW5,-2.98225493226899
SW6,-2.92611891590083
SW7,-2.84459708279891
SW8,-3.21676302400075
SW9,-3.70021852068161
SW10,-2.95911576438575
