long,lat,SST245,SST585
4.125,39.875,-3.12061789545244,-3.11235693234209
8.625,39.875,1.54463834494359,5.7293421253657
8.875,39.875,1.75291530869863,5.83768530971863
9.125,39.875,1.65780312199294,5.70404681703904
9.375,39.875,1.63269242341854,5.64687559540765
9.625,39.875,1.54974731451432,5.37803794168569
15.875,39.875,0.685978234774669,4.09817688608035
16.125,39.875,0.601764056112112,4.01573978675418
16.375,39.875,0.471090565923847,3.93936627044009
18.375,39.875,-2.55194280105054,-0.212202982538588
2.625,39.625,-4.25333099845352,-4.91022908166663
2.875,39.625,-3.67417149753927,-4.6858708190024
3.125,39.625,-3.30476891276389,-4.21260147533115
3.375,39.625,-3.17918690785098,-3.76031439655955
8.625,39.625,1.43130124030266,5.85308964966751
8.875,39.625,1.65694638826274,5.76040328039143
9.125,39.625,1.62635775811091,6.07145127571279
9.375,39.625,1.58140734824942,5.8059450606703
9.625,39.625,1.53029047225234,5.62638094932296
15.875,39.625,0.859535357529201,4.93216219100037
16.125,39.625,0.831997398638477,5.09971364288681
16.375,39.625,0.559366595593681,3.99721467074273
19.875,39.625,-2.45530713582466,-0.491424003140244
2.875,39.375,-3.53780259010322,-4.29997126730473
3.125,39.375,-3.29019827216294,-4.30550731599792
8.625,39.375,1.64938736964477,5.73285024867727
8.875,39.375,1.67207578302814,5.58901539738294
9.125,39.375,1.48868711572779,6.0746091799675
9.375,39.375,1.44155554359187,6.26398104431156
16.125,39.375,1.00944431085121,5.24353943288775
16.375,39.375,0.858577574401552,5.27914222417322
16.625,39.375,0.864217111147836,4.03250398026794
16.875,39.375,0.304888742689205,3.54255403968309
17.125,39.375,-1.89194990957829,1.32303261801898
8.625,39.125,1.65257489088283,5.72000208013963
8.875,39.125,1.67699223624749,5.65953475482063
16.125,39.125,1.05465659525317,5.14474338984668
16.375,39.125,1.1089201748952,4.21204357794836
16.625,39.125,1.01634840067413,4.62015759110602
16.875,39.125,0.493901672371342,3.52723544237353
17.125,39.125,-2.6565367075725,-0.328314295377023
1.375,38.875,-4.49731636930141,-4.80775592621382
16.375,38.875,1.14190596941689,3.96091660352264
16.625,38.875,1.12810097960093,4.70986200135076
15.875,38.625,1.44603362539916,5.11029295332508
16.125,38.625,1.17648503766508,4.62191720008058
16.375,38.625,1.08966518627514,4.59661515854095
15.875,38.375,1.53719409063975,5.0365908671615
16.125,38.375,1.34421327056505,4.36457235047212
16.375,38.375,1.12284216599319,4.09799356950251
13.125,38.125,1.38704660355905,5.85046338665154
14.875,38.125,1.87859329093171,5.3802783425958
15.125,38.125,1.72149767108088,5.03966645803076
15.375,38.125,1.76247257097018,5.34788714439904
15.875,38.125,1.17620391378414,4.94639528200641
16.125,38.125,0.965259625151412,4.72310515445532
12.625,37.875,0.952496352216943,5.49153086390224
12.875,37.875,1.4485898607552,5.65095764234842
13.125,37.875,1.4622338144845,5.8746653759814
13.375,37.875,1.46489779499981,5.71640034134573
13.625,37.875,1.26844995150339,5.7150079342593
13.875,37.875,1.23612883969689,5.27906709323061
14.125,37.875,1.3740980246396,5.3255716303003
14.375,37.875,1.72322986285946,5.41461269547522
14.625,37.875,1.85716533537535,5.33168488088785
14.875,37.875,1.89527658058013,5.29714330263851
15.125,37.875,1.79416878384742,5.54235381946213
12.625,37.625,0.674276107153581,5.28921480871098
12.875,37.625,1.14635731589058,5.65373382796319
13.125,37.625,1.49565538812648,5.7061330200804
13.375,37.625,1.57389610770326,5.82596978845772
13.625,37.625,1.61807266338868,5.92961924952925
13.875,37.625,1.6982568258295,5.63059166765447
14.125,37.625,1.84343484706272,5.52516972649274
14.375,37.625,1.84039608568171,5.22316669276137
14.625,37.625,1.86879776569135,5.4564896332426
14.875,37.625,1.80100746191204,5.4411815409749
15.125,37.625,1.8081727950297,5.42248818210089
13.375,37.375,1.79829345789256,5.59219635029979
13.625,37.375,1.6965386936708,5.92504130173155
13.875,37.375,1.82853846029384,5.8230433352257
14.125,37.375,1.78429014404147,5.41829009269348
14.375,37.375,1.89371783160596,5.43290772699641
14.625,37.375,1.83589562530539,5.42953024676851
14.875,37.375,1.79546553692667,5.39519017476042
9.125,37.125,-2.89328224881248,0.002100555595077
9.375,37.125,-3.06649353860833,0.195811414518101
9.625,37.125,-2.56527539234327,0.0917333282972943
9.875,37.125,-2.76068132230649,-0.776982205436505
10.125,37.125,-3.48314639432922,-3.65033323864925
13.875,37.125,1.87153484699955,5.68215705259194
14.125,37.125,1.79745970808475,5.48930745691183
14.375,37.125,1.77647688765422,5.39752146908573
14.625,37.125,1.69319386094771,5.30366272379043
14.875,37.125,1.68036601656022,5.26017290535492
15.125,37.125,1.81233618996327,5.34922834397848
3.875,36.875,-4.95958094903028,-4.90605941590488
4.125,36.875,-5.47922001252951,-4.77619202904769
4.375,36.875,-5.42941441929438,-4.75884266095639
4.625,36.875,-5.2674463339442,-5.02905574010929
6.125,36.875,-4.7890753267258,-5.51973331086195
6.375,36.875,-5.05922661971834,-5.52000193405916
6.625,36.875,-4.68037536541576,-5.54668861086084
6.875,36.875,-4.45427099715773,-5.77458580307762
7.125,36.875,-4.88363725265908,-5.57583361704805
7.375,36.875,-4.37559626748957,-5.46196056462196
7.625,36.875,-4.17896268227459,-5.54304002571351
8.125,36.875,-3.80055469992614,-5.80292885219653
8.375,36.875,-3.78766987887372,-5.73934196328886
8.625,36.875,-3.994949178563,-4.99443391566611
8.875,36.875,-3.72363050285658,-4.39316612149097
9.125,36.875,-3.87948853107754,-4.75104815001479
9.375,36.875,-3.73951780605602,-4.35264488299083
9.625,36.875,-3.91186747772745,-3.98985505939329
9.875,36.875,-3.71336838641011,-4.32903345947979
10.125,36.875,-3.43075247419416,-4.84017717440513
10.625,36.875,-3.11853200457899,-4.95411314814449
10.875,36.875,-3.29953953582785,-3.83763762276993
14.625,36.875,1.62927954697255,5.42603326467142
14.875,36.875,1.64474942138421,5.19116687526156
15.125,36.875,1.5347635833958,5.35334990113089
2.375,36.625,-4.71500810542347,-3.47905594813612
2.875,36.625,-4.60489605211265,-3.98558065600222
3.125,36.625,-4.6797960600679,-4.19191286773767
3.375,36.625,-4.86226253191454,-4.46308308124607
3.625,36.625,-5.05909738853345,-4.87558736509726
3.875,36.625,-4.58878403944686,-4.88054150454938
4.125,36.625,-4.23559001331061,-4.77579190468858
4.375,36.625,-4.22509260735557,-4.96450383406188
4.625,36.625,-4.29179606311656,-4.87307725196218
4.875,36.625,-4.71377870179729,-5.18102392065166
5.125,36.625,-4.50424041027544,-5.30017322031273
5.375,36.625,-4.61904062070006,-5.33524670093022
5.625,36.625,-5.07886500296327,-5.35636215273765
5.875,36.625,-4.55753176385684,-5.28560498526329
6.125,36.625,-5.04932996572551,-5.31149390629394
6.375,36.625,-5.05714312522993,-5.20126418507632
6.625,36.625,-5.09475017384601,-5.20441277848104
6.875,36.625,-5.2051051881063,-5.18382370991023
7.125,36.625,-5.01634299259219,-5.16579477881693
7.375,36.625,-4.8371317974947,-5.0767029417682
7.625,36.625,-4.56215713943363,-4.96791158316708
7.875,36.625,-4.31424962385578,-5.20488772764929
