long,lat,mmk
4.125,39.875,-1.18649231800996
8.625,39.875,11.6110529998363
8.875,39.875,13.7122844281428
9.125,39.875,13.311094830485
9.375,39.875,12.9587229255376
9.625,39.875,13.3819679455393
15.875,39.875,6.43344445881109
16.125,39.875,6.40227281280222
16.375,39.875,6.80949088196697
18.375,39.875,4.93915802020083
2.625,39.625,-3.398540079288
2.875,39.625,-3.4767477658837
3.125,39.625,-2.61310994885845
3.375,39.625,-2.23703733537712
8.625,39.625,11.5462535965388
8.875,39.625,11.728482705535
9.125,39.625,13.6579155184322
9.375,39.625,12.9891423539726
9.625,39.625,10.8558986567803
15.875,39.625,5.52881184184716
16.125,39.625,5.69253570915742
16.375,39.625,5.9051676154683
19.875,39.625,3.56966318493015
2.875,39.375,-3.10432322168619
3.125,39.375,-2.77576284023361
8.625,39.375,13.4460367426488
8.875,39.375,12.833800081213
9.125,39.375,12.7487105607609
9.375,39.375,11.6763804005279
16.125,39.375,5.00443493137719
16.375,39.375,5.80354701804578
16.625,39.375,5.64255368934193
16.875,39.375,6.6720826524139
17.125,39.375,7.09355932644843
8.625,39.125,12.8601168094738
8.875,39.125,12.437176171828
16.125,39.125,4.85218242712753
16.375,39.125,5.13423911583197
16.625,39.125,5.44844539519495
16.875,39.125,5.48636869438223
17.125,39.125,4.38602172215871
1.375,38.875,-3.20601869890794
16.375,38.875,5.90450095965304
16.625,38.875,4.86695302332979
15.875,38.625,5.02599452888508
16.125,38.625,4.80914925783282
16.375,38.625,5.01488408312382
15.875,38.375,4.83834862455684
16.125,38.375,5.03328636340402
16.375,38.375,5.02257370840718
13.125,38.125,6.19217959868496
14.875,38.125,4.76969483058291
15.125,38.125,4.69934706342203
15.375,38.125,4.71399939009708
15.875,38.125,5.60402742665618
16.125,38.125,5.36095460736745
12.625,37.875,7.08220548956302
12.875,37.875,6.33794035738573
13.125,37.875,6.24499742884973
13.375,37.875,6.67104849811835
13.625,37.875,6.34577140887199
13.875,37.875,6.31829152849457
14.125,37.875,5.80966514403499
14.375,37.875,5.21520165915448
14.625,37.875,5.33016245629248
14.875,37.875,4.904720773278
15.125,37.875,4.77909697801738
12.625,37.625,8.91363761290261
12.875,37.625,7.21911289302491
13.125,37.625,6.36684522038556
13.375,37.625,6.13647211475689
13.625,37.625,6.16830693716157
13.875,37.625,5.91506221762807
14.125,37.625,5.58020766395303
14.375,37.625,4.98786437677966
14.625,37.625,5.16035350339323
14.875,37.625,5.29171690526198
15.125,37.625,5.07979520733927
13.375,37.375,6.08450710102276
13.625,37.375,6.0135954002977
13.875,37.375,5.9561369083643
14.125,37.375,5.69500924425473
14.375,37.375,5.70368076642664
14.625,37.375,4.96592332404258
14.875,37.375,5.80308504558569
9.125,37.125,0.183704725356104
9.375,37.125,0.142955168639293
9.625,37.125,0.811815337540211
9.875,37.125,-0.841514892914514
10.125,37.125,-2.90264231169676
13.875,37.125,5.87841883034174
14.125,37.125,5.57232434974611
14.375,37.125,5.68193221521995
14.625,37.125,4.88231371402501
14.875,37.125,5.78409512463232
15.125,37.125,5.75176478656525
3.875,36.875,-4.59418832746046
