long,lat,SST245,SST585
4.125,39.875,-2.01227777947332,-2.145993078692
8.625,39.875,2.44852335805028,4.66529346189222
8.875,39.875,2.57370793727059,4.36079774665738
9.125,39.875,2.31297392162282,4.41469537806867
9.375,39.875,2.46465431466604,4.35245457838204
9.625,39.875,2.40141657768569,4.7894943569614
15.875,39.875,1.16217657144804,3.4098509255159
16.125,39.875,1.04258575944351,3.16483352469242
16.375,39.875,0.874091541436515,3.66200030777238
18.375,39.875,-1.22530879755141,-0.869967312270117
2.625,39.625,-5.3989660895408,-3.50657463012032
2.875,39.625,-5.52112997890508,-3.31483659688533
3.125,39.625,-4.49900219230839,-2.96887204367666
3.375,39.625,-3.13252057871013,-2.68456071293956
8.625,39.625,2.31975717753259,4.62797006795716
8.875,39.625,2.6308971931703,4.58129815804079
9.125,39.625,2.50376961344623,4.62841818813974
9.375,39.625,2.50931748860542,4.46106826668402
9.625,39.625,2.39092219676912,4.64152239885643
15.875,39.625,1.35937140891756,3.70438647258649
16.125,39.625,1.23803044737991,3.57183306813532
16.375,39.625,1.09712904662544,3.17004730775721
19.875,39.625,-1.225545557791,-0.410666818703556
2.875,39.375,-4.14625134219936,-3.26654345899501
3.125,39.375,-3.40724873898944,-2.80016252761383
8.625,39.375,2.54153119483463,4.63772172015009
8.875,39.375,2.64842782646997,4.36630761091064
9.125,39.375,2.40351127470736,4.60588149237881
9.375,39.375,2.35234169009487,4.48568181813688
16.125,39.375,1.30118464052518,3.26287402775373
16.375,39.375,1.25661434877226,3.24968045529693
16.625,39.375,1.03963940260689,2.78710509414628
16.875,39.375,0.714563051368008,2.32477566811304
17.125,39.375,-0.597747637321944,0.455990612777897
8.625,39.125,2.56369984108471,4.54107305817658
8.875,39.125,2.61788078084867,4.50323774248647
16.125,39.125,1.42117860316549,3.17060075088547
16.375,39.125,1.25276918316361,2.79560026898731
16.625,39.125,1.29095964903032,3.03506864629758
16.875,39.125,0.829962901034573,2.34152548548738
17.125,39.125,-1.20781632972299,-0.497818332837194
1.375,38.875,-5.18167056422316,-3.58110394764538
16.375,38.875,1.32305178230798,2.87691689181921
16.625,38.875,1.31512815776599,3.38918751856339
15.875,38.625,1.82481748707891,3.47355141855645
16.125,38.625,1.93139384092252,3.62997320654497
16.375,38.625,1.46573905313441,3.32884505514102
15.875,38.375,1.80942083003138,3.38841638968897
16.125,38.375,1.61529514116199,3.07035244287827
16.375,38.375,1.40918656227726,3.23355751298356
13.125,38.125,2.33741010561233,4.58327254946015
14.875,38.125,2.38324563685663,4.21662338697793
15.125,38.125,2.13981251484472,3.9144510900772
15.375,38.125,2.00359989918659,3.43787367520463
15.875,38.125,1.58335583499272,3.51632374014611
16.125,38.125,1.40574923680762,3.17487449469728
12.625,37.875,1.98026811247976,3.66118772871137
12.875,37.875,2.27397066706812,4.28729903978825
13.125,37.875,2.20691510918175,4.61792015133949
13.375,37.875,2.3774703858306,4.3600810474114
13.625,37.875,2.17897010497556,4.08226075052136
13.875,37.875,2.18515546566262,4.25029057434587
14.125,37.875,2.33916150054944,4.08322666259046
14.375,37.875,2.25940406268393,4.12398895903146
14.625,37.875,2.41421251708914,4.16386123618605
14.875,37.875,2.42579240548021,4.03189837830328
15.125,37.875,2.33464860107066,3.88933709253028
12.625,37.625,1.77713720962122,3.60630392769725
12.875,37.625,2.14928784650573,4.28572498627164
13.125,37.625,2.03939754670079,3.5673009523449
13.375,37.625,2.55781920384043,4.34627857044353
