era5_test,proj_testin
-0.00823630482002987,-0.0432762346752218
0.0555955119401081,-0.0628744702737971
0.0819554951761181,-0.0904179007070843
0.112026910156159,-0.0823706038656436
0.152643585050619,-0.0762012942572427
0.166397178179718,-0.0933428044034431
0.150334066616041,-0.112407086251113
0.131774136191596,-0.133229852503857
0.163743944747348,-0.129623192421715
0.201847301861302,-0.105766008606832
0.212353210167122,-0.113603506280378
0.243343925887304,-0.0984224603142498
0.260530821364265,-0.0366995815591854
0.277911417988712,0.0168146306261463
0.34534903409074,0.0588771052729866
0.378966005967717,0.0722922396647681
0.381806990779996,0.0929349603214828
0.401428164243009,0.1089469124481
0.433817314493778,0.0845354897472132
0.487333342023524,0.0493874660744665
0.458127486043354,0.0216932902708093
0.385797227146051,0.00639316508459882
0.377507386281912,0.0136534801864513
0.369146689923393,0.0248468085186712
0.390980446613319,0.0385927848888882
0.399954877894456,0.078925741915158
0.328874950349651,0.111609281006338
0.26402335562233,0.114983389862404
0.245891416878243,0.112764104738958
0.269426293484254,0.115202955053089
0.276623916574787,0.141678692101019
0.24787077017037,0.18890131693246
0.247161400883872,0.219432974082989
0.259591849318981,0.237754613900739
0.221291057577055,0.260949571726184
0.137027930094224,0.277988490031717
0.0269328966309085,0.253669254048253
-0.0393997886485797,0.180857045022143
-0.032255893439535,0.110068557819252
0.00227953961446305,0.046297299495874
0.0253065059858857,-0.00990987381733651
-0.00297199420193521,-0.0368245786714959
-0.0264297580742067,-0.0251709236494495
-0.0268884205147009,-0.00826505527632586
-0.00721200899589607,0.0090231875947453
0.020537559012225,0.0230285482140431
0.0308606845995042,0.00737990338559766
0.0683234712979916,-0.0253371380588739
0.10729399911868,-0.0486815229921447
0.106781056711393,-0.0435776597006733
0.0821691762788823,-0.0424733640045981
0.063870962075802,-0.0337270789967598
0.0590389780500124,-0.0160602622835496
0.0801675245706024,0.0297527315015623
0.114053113847998,0.0778195397939832
0.132213375363714,0.0939191513428969
0.113086734886881,0.111942021477951
0.111415729061968,0.119796835179655
0.153929659427461,0.125797380453527
0.191162939486871,0.121065406403781
0.218304062519132,0.116874568406284
0.216443383292819,0.126157457093911
0.205129837311151,0.129824801482857
0.132599625862788,0.131816653103677
0.0156061405557421,0.125432813138294
-0.0558431569521474,0.086181261995513
-0.101408695678313,0.0233179492963821
-0.128035262161503,-0.0218139384653697
-0.148607134183986,-0.0513551626061243
-0.206343983561794,-0.0843494844906534
-0.285641788409307,-0.124696018676423
-0.341685532035511,-0.128704002793214
-0.349706120656322,-0.0829413122286975
-0.3040164244586,-0.0395592293346169
-0.247032098245707,-0.00928678186020429
-0.15091716276868,0.0190623005384212
-0.0356064405672415,0.0512909621798564
0.0267882586742463,0.0844131241319334
0.0482801532500172,0.115133374426231
0.0718602370607925,0.145562311190842
0.126780255032641,0.159976959068218
0.161980198687895,0.173242799347494
0.218233096217529,0.184052114259296
0.306920277963598,0.160989533623997
0.336473062769269,0.111415414073997
0.314997965630494,0.0560043083532268
0.284659310431456,0.0365120198413465
0.231809883227687,0.0348873067322514
0.200671791730847,0.0195105224151565
0.180708935329758,0.00656861463009983
0.149588471913754,-0.0142203758520564
0.123453166714887,-0.0441335765529318
0.0912644102001043,-0.05481332559952
0.0862242114823932,-0.0408020698532441
0.0684347132119836,-0.0238489161915868
