era5_test,proj_testin
-0.00823630482002987,-0.0108750627190592
0.0555955119401081,-0.00641971314081995
0.0819554951761181,-0.042191325842448
0.112026910156159,-0.0503648206034632
0.152643585050619,-0.0581185071647013
0.166397178179718,-0.0761133096338716
0.150334066616041,-0.0669991764739234
0.131774136191596,-0.0533389137506899
0.163743944747348,-0.0227870171710134
0.201847301861302,0.0371321452658984
0.212353210167122,0.0502552700526399
0.243343925887304,0.0215001196973065
0.260530821364265,0.0167152685647928
0.277911417988712,0.0532059003796073
0.34534903409074,0.0795268718851176
0.378966005967717,0.0660196793977226
0.381806990779996,0.10722058622055
0.401428164243009,0.132402732862584
0.433817314493778,0.0832252143361014
0.487333342023524,0.0330959784989125
0.458127486043354,-0.000310805077066221
0.385797227146051,-0.0110301057369712
0.377507386281912,-0.0192866651538489
0.369146689923393,-0.0413778134266132
0.390980446613319,-0.0095401759437998
0.399954877894456,0.0335488264784582
0.328874950349651,0.0605777109456374
0.26402335562233,0.0804219429985514
0.245891416878243,0.0611156064406145
0.269426293484254,0.0406301329825256
0.276623916574787,0.0380905850122403
0.24787077017037,0.0517552705193438
0.247161400883872,0.0666091548802666
0.259591849318981,0.0570358439233123
0.221291057577055,0.0817164462796808
0.137027930094224,0.108198839894916
0.0269328966309085,0.0847766022341543
-0.0393997886485797,0.0743683874468086
-0.032255893439535,0.0431968108745901
0.00227953961446305,1.81503400850797e-05
0.0253065059858857,0.00630992176677793
-0.00297199420193521,0.0414061497741918
-0.0264297580742067,0.0966474449990732
-0.0268884205147009,0.14017326868239
-0.00721200899589607,0.140231444512338
0.020537559012225,0.129575881085357
0.0308606845995042,0.110691683529024
0.0683234712979916,0.109735118371928
0.10729399911868,0.109259548001303
0.106781056711393,0.0681225881730438
0.0821691762788823,0.0252376496627472
0.063870962075802,-0.00343830998858403
0.0590389780500124,-0.0420327282006724
0.0801675245706024,-0.0301820449091839
0.114053113847998,0.0166861523517036
0.132213375363714,0.0310682274202825
0.113086734886881,0.064998742741086
0.111415729061968,0.120643818898488
0.153929659427461,0.140258697130407
0.191162939486871,0.141707715471863
0.218304062519132,0.137113493523729
0.216443383292819,0.144591333739105
0.205129837311151,0.165183673139319
0.132599625862788,0.180508202411543
0.0156061405557421,0.202481821911121
-0.0558431569521474,0.191138851395293
-0.101408695678313,0.149788260045631
-0.128035262161503,0.124770116746895
-0.148607134183986,0.0986894488082197
