date,variable,max,min
2018-01-01,SW1,0.244535936048903,-0.216163170982411
2018-02-01,SW1,0.21276014618857,-0.220990304485727
2018-03-01,SW1,0.185202005356886,-0.22960456393643
2018-04-01,SW1,0.259967839957522,-0.269159662320185
2018-05-01,SW1,0.281479233229689,-0.240004323700608
2018-06-01,SW1,0.257300219592322,-0.279482767946322
2018-07-01,SW1,0.260934447039406,-0.259437945464383
2018-08-01,SW1,0.275993331203932,-0.227267611396623
2018-09-01,SW1,0.268287594536586,-0.242219362457661
2018-10-01,SW1,0.332498715025006,-0.263465645105943
2018-11-01,SW1,0.272202584799408,-0.270576152754199
2018-12-01,SW1,0.283112103212401,-0.307115560506816
2019-01-01,SW1,0.325123324441456,-0.243487689969428
2019-02-01,SW1,0.326463719102042,-0.177807710222529
2019-03-01,SW1,0.340271308603755,-0.172835259463712
2019-04-01,SW1,0.300421425468373,-0.207723640251882
2019-05-01,SW1,0.312532755882506,-0.167396096820195
2019-06-01,SW1,0.314318884119697,-0.232159337361017
2019-07-01,SW1,0.310305179527142,-0.218474289360454
2019-08-01,SW1,0.345776113336329,-0.181930518529738
2019-09-01,SW1,0.328624029512149,-0.174222658673372
2019-10-01,SW1,0.30203980699379,-0.20764148271131
2019-11-01,SW1,0.286570700273255,-0.243478346694445
2019-12-01,SW1,0.317790583272493,-0.190148560920618
2020-01-01,SW1,0.30475229785613,-0.215397358902257
2020-02-01,SW1,0.313579049077683,-0.26757079143896
2020-03-01,SW1,0.2356419736185,-0.289199543072953
2020-04-01,SW1,0.292510368702127,-0.262737250367681
2020-05-01,SW1,0.254625235660436,-0.206013630252248
2020-06-01,SW1,0.293174504159707,-0.276062625547671
2020-07-01,SW1,0.221414788081356,-0.298327045214384
2020-08-01,SW1,0.21888793707416,-0.296559471983381
2020-09-01,SW1,0.171338263824282,-0.284080671272201
2020-10-01,SW1,0.229928079050067,-0.256405984095651
2020-11-01,SW1,0.16151612803812,-0.260893273188965
2020-12-01,SW1,0.280981313343858,-0.189233269864161
2021-01-01,SW1,0.239896567704938,-0.157009416575157
2021-02-01,SW1,0.17154251299645,-0.20471383009311
2021-03-01,SW1,0.254538692627116,-0.232279791249492
2021-04-01,SW1,0.233753413768216,-0.271184770205697
2021-05-01,SW1,0.266124257469598,-0.294427306800715
2021-06-01,SW1,0.32925682632298,-0.166657692135133
2021-07-01,SW1,0.339441631322882,-0.0638527310157559
2021-08-01,SW1,0.320718095470608,-0.0769172598951946
2021-09-01,SW1,0.288774372853496,-0.155942457139671
2021-10-01,SW1,0.34290448976281,-0.109693365521355
2021-11-01,SW1,0.306098825623131,-0.171017122091033
2021-12-01,SW1,0.272387087882624,-0.131645702644547
2022-01-01,SW1,0.271476649476085,-0.114971437180734
2022-02-01,SW1,0.215230060365744,-0.155793193055301
2022-03-01,SW1,0.339633505219253,-0.162464527034248
2022-04-01,SW1,0.346344447713729,-0.181565014573802
2022-05-01,SW1,0.316728945054251,-0.0993738673809704
2022-06-01,SW1,0.329163685345391,-0.152718448719072
2022-07-01,SW1,0.35054695823586,-0.0869223447531447
2022-08-01,SW1,0.296625155388748,-0.19253436761242
2022-09-01,SW1,0.31137077635658,-0.199809741661995
2022-10-01,SW1,0.321791175265485,-0.311424473432882
2022-11-01,SW1,0.315468123773526,-0.23519161257696
2022-12-01,SW1,0.285497628000758,-0.242303288829027
2023-01-01,SW1,0.28839263521844,-0.215949051411436
2023-02-01,SW1,0.287381485165561,-0.193364883106647
2023-03-01,SW1,0.292845729459542,-0.276653641512703
2023-04-01,SW1,0.275893110707061,-0.239172820437896
2023-05-01,SW1,0.224938599276459,-0.261449180208596
2023-06-01,SW1,0.293850062879967,-0.260208042856129
2023-07-01,SW1,0.273552830990588,-0.278223616773106
2023-08-01,SW1,0.293027129467117,-0.275707392857621
2023-09-01,SW1,0.323305530316318,-0.282114262880947
2023-10-01,SW1,0.245499378164704,-0.226702897295487
2023-11-01,SW1,0.251394423591856,-0.222866234258051
2023-12-01,SW1,0.250166118287879,-0.322399835781253
2024-01-01,SW1,0.217500951223471,-0.306514261953552
2024-02-01,SW1,0.224844666675548,-0.252454677583742
2024-03-01,SW1,0.252171550816727,-0.250694002849583
2024-04-01,SW1,0.259153397559418,-0.212781696934094
2024-05-01,SW1,0.240085176942373,-0.21491998891807
2024-06-01,SW1,0.234886215447239,-0.227774798458338
2024-07-01,SW1,0.295980228592073,-0.270048868432577
2024-08-01,SW1,0.276879215328346,-0.182830887100414
2024-09-01,SW1,0.278710726445281,-0.193143438776694
2024-10-01,SW1,0.221245568456963,-0.207872391232348
2024-11-01,SW1,0.326142865940172,-0.178806499387606
2024-12-01,SW1,0.3173523553892,-0.203316203094092
2025-01-01,SW1,0.335479854335151,-0.182391927940675
2025-02-01,SW1,0.305354974065932,-0.167119452413826
2025-03-01,SW1,0.305214384239812,-0.147961084646678
2025-04-01,SW1,0.276993195650055,-0.17858646730592
2025-05-01,SW1,0.284032963106123,-0.231206415469704
2025-06-01,SW1,0.315479887631958,-0.221997501820757
2025-07-01,SW1,0.248520072621427,-0.190057352146134
2025-08-01,SW1,0.294071575856324,-0.152941777557792
2025-09-01,SW1,0.235401136069078,-0.175271959211579
2025-10-01,SW1,0.191041544787802,-0.176809338987768
2025-11-01,SW1,0.206172022317672,-0.17939622766463
2025-12-01,SW1,0.214167590381538,-0.14557748498579
2026-01-01,SW1,0.218773691798564,-0.148192137650778
2026-02-01,SW1,0.255617977444237,-0.156057200592718
2026-03-01,SW1,0.270073263369191,-0.184507943464571
