date,ERA5,ACCESS.ESM1.5,BCC.CSM2.MR,CanESM5,GFDL.ESM4,IPSL.CM6A.LR,MIROC6,MRI.ESM2.0,NorESM2.LM
2003-01-01,296.362717836932,296.680153973193,296.165269311934,296.591126998845,296.226843912159,296.062213628818,296.070595290593,296.038497718511,296.191197552905
2003-02-01,296.016935814535,295.975884590417,296.033644837156,296.014906994851,296.139079276509,296.130909850278,296.187481285265,296.035486066821,296.011780901172
2003-03-01,296.437309897904,296.221123930841,296.333767676902,296.17915200205,296.27389198695,296.285272228503,296.205654180703,296.12746085013,296.182582577288
2003-04-01,296.805278212325,296.733324576111,296.407138771533,296.724331117663,296.701152907673,296.558981590041,296.713762578197,296.508420620588,296.614151474677
2003-05-01,298.167923321237,297.926939208167,297.94912388861,297.640109985348,297.996750487084,297.711389833601,297.920784039013,297.76275496495,297.774515755428
2003-06-01,299.427594673122,299.019399007113,299.176393111742,299.368105000468,299.247445235224,299.491082043401,299.17159641901,299.2428841519,298.26444036585
2003-07-01,300.696772281615,300.572490557002,300.800483114083,300.703914116944,300.649496300424,300.747283978452,300.636226578731,300.252601867746,300.102850482647
2003-08-01,301.398919446423,301.381140138702,301.470015687615,301.348938741547,301.383670681299,301.113489503816,301.463943365027,301.333168914471,301.211959313751
2003-09-01,301.325903112545,301.358510620498,301.376805249897,301.333016639933,301.331635105772,301.09354366301,301.367988003951,301.331929291021,301.201849736108
2003-10-01,300.603855208026,300.600997955149,300.687845936287,300.464319499145,300.541125183405,300.672393966569,300.874022918937,300.573461948908,300.568913004996
2003-11-01,299.284230711338,299.039998726878,298.97202810066,299.368105000468,298.906173532323,299.491082043401,299.342532562601,299.2428841519,299.057153378901
2003-12-01,297.610303255861,297.765207046799,297.743665904036,297.572262700164,297.332707899449,297.474207469814,297.7899095207,297.687858218218,297.685687381153
2004-01-01,296.486664968555,296.823004214441,296.305228269188,296.558637980735,296.149631886219,296.775786880585,296.637136895112,296.119234075856,296.384499069301
2004-02-01,295.870755551027,296.002619383595,296.164596602014,296.278656840799,296.139079276509,296.222232716355,296.304914470038,296.12746085013,296.1085014613
2004-03-01,295.893280388833,296.044713420543,296.075506152961,296.180174954951,296.480568520963,295.880051843725,296.464397494224,295.910290454073,296.546471008133
2004-04-01,296.680837611638,296.666981445403,296.507451230699,296.576961781128,296.615427811714,296.75095465454,296.719607161602,296.596471982267,296.465530089686
2004-05-01,297.778814408364,297.84927645715,297.816689842388,297.531677663381,297.914711000458,296.648653417741,297.793719899104,297.718398015291,297.739450910564
2004-06-01,299.386091474807,299.311011705528,299.204614268618,299.385509178718,299.387462302851,299.212029535938,299.237821737316,299.277620532277,299.306933881755
2004-07-01,300.700733971696,300.698821422239,300.557227111773,300.744900238117,300.697128722554,300.507154241834,300.933561453192,300.498211882209,300.791179624163
