TWS_OBS,TWS_PROJ,SWs
0.241371218170372,0.275640114642966,SW6
0.255454926981293,0.226572428502981,SW6
0.27034018625333,0.174576693071682,SW6
0.286135426606948,0.210818916910089,SW6
0.305849906929885,0.268194058832794,SW6
0.319542424471398,0.263413111378209,SW6
0.328987046907107,0.204242208977156,SW6
0.336417103531001,0.167472733162104,SW6
0.344889190197498,0.275565117464621,SW6
0.35623484356887,0.170180486469994,SW6
0.361330178167829,0.197465849329748,SW6
0.372926093868921,0.308462838229709,SW6
0.389838788340223,0.282007512303089,SW6
0.396608787716956,0.253409101332477,SW6
0.405882848787583,0.344504321731866,SW6
0.415527865726388,0.402721438227249,SW6
0.425451920598059,0.392548107733862,SW6
0.447203377782248,0.413464480292461,SW6
0.463477938130699,0.393679574471638,SW6
0.473177729047695,0.35854507359564,SW6
0.48291553522232,0.359132603163126,SW6
0.492782340157795,0.487476379023179,SW6
0.506197712593274,0.497084894731485,SW6
0.509359007924481,0.498867969534169,SW6
0.50571495646838,0.496669696515386,SW6
0.509349347348032,0.495602048950871,SW6
0.516939003566799,0.407559156856861,SW6
0.522978928131098,0.323257814442153,SW6
0.520896790156911,0.204557024040933,SW6
0.507118278867397,0.274094461382389,SW6
0.492021685986666,0.311627717786356,SW6
0.475827004207567,0.315900576844694,SW6
0.457819597024865,0.283676750181562,SW6
0.438678541565043,0.285749121821707,SW6
0.419160768318547,0.22923630649028,SW6
0.402745067335173,0.252454761760063,SW6
0.390119463207086,0.286213007978949,SW6
0.378035426159085,0.233731729483408,SW6
0.357812605128263,0.201199343582971,SW6
0.338824893796404,0.297503705086893,SW6
0.326856595976045,0.276495020226461,SW6
0.3159173825989,0.293855245391226,SW6
0.308181009517287,0.283242967840997,SW6
0.304485575549947,0.297324302065082,SW6
0.298178744871483,0.28230555790881,SW6
0.288491519393497,0.269238022336598,SW6
0.276118004585023,0.202426742313604,SW6
0.264990144875618,0.177038001374548,SW6
0.252339850733759,0.164351391766687,SW6
0.23091691911451,0.167443966773618,SW6
0.208944046575899,0.162627264370075,SW6
0.185591548283425,0.201874774344665,SW6
0.159442363351593,0.150474102591054,SW6
0.138647048128909,0.168553074723698,SW6
0.121427089700272,0.0696584747709758,SW6
0.105593901308903,0.100864559632059,SW6
0.0914361613484308,0.164846485712988,SW6
0.080859790033776,0.0764782143303649,SW6
0.0705264772477568,0.115589351447052,SW6
0.0503435572058129,0.0327450111511324,SW6
0.0295311406758914,0.21661429611871,SW6
0.0170518149703746,0.11613146969363,SW6
0.00857151307367606,0.0633465814846382,SW6
-0.000134314308408003,0.0459029950616248,SW6
-0.0106962649957221,0.276879928693992,SW6
-0.022650627187651,-0.0811620905019757,SW6
-0.0379150550463595,-0.167790750024226,SW6
-0.0495668594789333,-0.123010291650987,SW6
-0.0500354013603989,-0.0891863433587444,SW6
-0.0461915189378831,-0.0914281811101528,SW6
-0.0422698034318769,-0.185508542060332,SW6
-0.0390035496617727,-0.156877564121698,SW6
-0.0340338719222034,-0.192739475910953,SW6
-0.0219901015253449,-0.405223252640544,SW6
-0.00835845731959498,-0.139151938173716,SW6
0.00842012007529582,-0.0840273705433011,SW6
0.0277515037274303,0.237136416241979,SW6
0.0431874984829648,0.142251396924394,SW6
0.0590520299252838,0.221159171162343,SW6
0.0679970904403344,0.0471676205666694,SW6
0.0621424191336621,0.0472807013282705,SW6
0.0498957979624553,0.0699727172390573,SW6
0.0421563998848007,0.110447861855831,SW6
0.0413154455150591,0.182735320815826,SW6
0.0372268787118921,0.224594904377561,SW6
0.0251280018416828,0.124610271437127,SW6
0.00615900001080391,0.179102919749096,SW6
-0.0207901849075935,0.133822868552121,SW6
-0.0460124073361994,-0.00484990971291963,SW6
-0.0636915975556704,-0.0201424885705715,SW6
-0.0781715714711967,0.00437903728604843,SW6
-0.0922104544458864,0.0212618303137686,SW6
-0.105884221810622,0.0688036451753182,SW6
-0.115380838941569,0.159266584248807,SW6
-0.127123965550834,0.0279698299189914,SW6
-0.136363810331078,0.201578599787302,SW6
-0.139302222827659,-0.161625453272152,SW6
-0.147947242753139,-0.16256064424064,SW6
-0.151767885406424,-0.146307468151751,SW6
-0.147031784546384,-0.169207813876257,SW6
-0.150899573730073,-0.162997605822064,SW6
-0.161976592885274,-0.160393469550143,SW6
-0.171387666631575,-0.160719049902679,SW6
-0.181289428747468,-0.170741648444207,SW6
-0.185312226512201,-0.177395205099805,SW6
-0.186239643149397,-0.167853790959468,SW6
-0.193931679564043,-0.155027684805905,SW6
-0.211435272566691,0.265093004924036,SW6
-0.232355288212341,0.233214348129388,SW6
-0.244084776486806,-0.0514765687788163,SW6
-0.257868768346133,0.135879062386008,SW6
-0.275314083516149,-0.0354463894705155,SW6
-0.287004468471491,-0.198591281628983,SW6
